"DOWNHAM (DOWNHAM HALL)",,,,,,,,,,,,
Grid ref,SD782443,Long,-2.333210,Lat,53.894412,,,,,,,
Station no,2992,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.76,4.75,1.60,4.15,2.70,6.75,4.80,4.00,3.70,5.35,,
February,3.90,1.23,1.35,3.45,1.60,0.95,3.30,7.00,0.70,2.55,,
March,4.33,2.06,1.68,2.30,1.50,1.50,4.00,1.65,2.10,1.30,,
April,2.60,3.01,3.00,1.00,2.60,2.70,1.40,1.50,0.60,3.05,,
May,2.11,2.22,2.85,3.20,3.10,2.30,2.30,6.00,1.70,2.50,,
June,1.16,3.18,1.90,3.55,3.30,2.15,1.40,4.70,3.00,1.15,,
July,3.63,2.31,5.20,5.40,0.85,4.95,5.40,3.60,3.40,7.90,,
August,5.09,7.24,5.25,6.80,0.95,11.65,5.60,5.00,0.65,5.20,,
September,3.51,4.25,4.90,6.20,3.40,4.60,5.80,5.80,0.40,3.00,,
October,1.27,2.82,1.65,9.60,3.00,2.50,6.50,3.90,5.90,3.30,,
November,8.30,2.06,5.25,6.18,0.70,1.70,1.70,2.10,5.70,7.85,,
December,10.14,3.75,2.40,6.35,5.95,3.90,5.40,4.50,8.15,5.60,,
Total,50.80,38.88,37.03,58.18,29.65,45.65,47.60,49.75,36.00,48.75,,
Calc annual,50.80,38.88,37.03,58.18,29.65,45.65,47.60,49.75,36.00,48.75,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
