DOWNHAM HALL NO 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD779443,Long,-2.3376,Lat,53.8944,Elevation,464,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,5.85,4.54,4.15,4.02,4,1.34,5.23,5.67,4.87,4.15,2.65,5.9,5.32,2.25,0.75,0.4,4.05,5.15,5.33,2.55,6.6,2.23,2.03,2.05,4.92,2.55,3.5,1.3,4.18,2.13,2.73,1.52,4.62,6.9,6.13,3.28,3.82,4.84,3.57,2.28,6.58,2.21,5.57,2.47,6.32,1.89,3.69,4.25,3.83,6.38,4.51,2.96,3.13,5.22,4.59,8.34,3.59,5.4,3.16,3.57,4.97,4.59,11.53,1.94,6.19,4.28,4.95,2.84,4.08,2.18,3.79,3.61,5.97,5.74,2.09,0.86,4.82,5.55,7.09,3.11,5.58,3.14,8.36,1.86,3.2,4.76,4.75,1.6,4.15,2.7,6.75,4.8,4,3.7,5.35,,
February,,,,,,,5.37,4.25,3.8,8.46,1.25,4.35,4.73,0.95,1.27,1.06,6.02,4.65,1.75,2.19,3.47,5.78,3.81,2.43,3.2,2.75,0.88,1.3,0.82,2.88,0.65,0.55,2.53,5.4,7.05,0.47,2.02,4.2,4.2,1.88,3.8,1.47,1.15,4.62,3.72,2.2,2.9,3.13,5.96,4.59,5.02,6.7,1.65,1.7,2.75,4.49,4.25,0.99,6.8,1.24,4.33,0.46,4.77,5.56,0.82,6.43,5,1.84,6.6,0.84,0.51,5.25,0.16,4.08,0.39,7,2.01,6.47,2.06,4.4,1.76,4.9,1.9,3.03,2.24,5.4,6.42,0.25,3.03,3.08,6.71,3.9,1.23,1.35,3.45,1.6,0.95,3.3,7,0.7,2.55,,
March,,,,,,,1.95,1.33,4.68,1.32,2.13,1.77,4.5,3.22,5.82,1.08,4.97,3.65,2.85,2.6,3.2,4.85,5.13,0.9,2.92,2.95,3.15,2.35,2.58,3.45,4.25,1.9,1.05,1.6,4.17,3.33,6.13,5.23,2.2,2.75,0.67,3.3,2.99,5.8,2.42,3.02,3.82,4.66,3.16,2.93,0.76,2.11,6.38,6.22,5.3,1.91,2.5,2.24,1.5,5.58,3.72,4,2.19,1.81,1.48,1.5,2.06,3.77,2.5,1.22,2.7,0.59,2.75,2.53,2.22,1.51,2.5,1.58,1.31,1.89,3.52,3.6,3.68,1.52,0.38,2.09,1.1,6.5,2.39,0.1,2.08,4.33,2.06,1.68,2.3,1.5,1.5,4,1.65,2.1,1.3,,
April,,,,,,,1.37,5.82,2.07,2.2,1.97,2.95,3.52,0.47,1.67,1.56,2.67,3.1,1.55,1.5,1.5,2.57,3.26,2.05,1.03,1.67,3.28,2,1.7,2.18,1.25,1.85,2.15,0.47,2.43,2.77,1.12,2.95,1.95,3.55,2.95,2.25,2.11,2.7,3.57,3.15,1.12,1.73,2.91,4,2.96,2.47,1.3,5.07,1.24,2.45,3.31,1.6,0.99,2.11,4.46,1.5,2.86,4.28,1.79,2.77,1.53,3.16,1.07,1.1,2.75,3.03,3.79,1.58,3,3.3,1.18,2.48,0.78,1.82,3.22,1.53,1.68,2.92,2.5,3.23,1.68,3.75,2.3,2.36,3.14,2.6,3.01,3,1,2.6,2.7,1.4,1.5,0.6,3.05,,
May,,,,,,,1.52,1.88,1.23,4.07,1.88,1.69,3.16,2.47,2.25,2.82,0.72,2.45,3.65,1.95,2.77,4.55,3.84,1,2.15,2.17,4.82,2.47,1,3.7,2.43,2.65,4.7,2.25,2.47,0.78,0.55,2.75,3.07,3.13,1.68,1.08,2.73,3.28,3.03,0.5,4.92,3.84,3.47,2.14,2.57,2.35,2.3,3.13,2.31,1.63,3.13,1.99,1.94,2.14,6.63,2.04,1.53,4.1,5.73,4.41,3.67,1.4,0.71,2.55,1.99,2.27,4,2.35,3.67,1.15,1.07,2.57,3.55,1.43,1.59,2.46,2.38,3.14,4.24,3.82,1.56,3.25,1.41,2.22,1.53,2.11,2.22,2.85,3.2,3.1,2.3,2.3,6,1.7,2.5,,
June,,,,,,,4.67,1.72,0.57,1.72,2.95,3.09,4.19,2.15,1.4,2.72,4.2,1.9,2.4,4.6,4.63,2.35,6,3.95,0.62,3.12,2.32,0.48,2.13,1.02,3.77,0.87,3.67,2.5,3.45,2.42,3,4.47,2.88,1.52,2.5,1.5,1.22,2.8,1.14,3.13,1.35,7.8,2.24,2.47,2.47,4.56,6.45,3.06,1.79,0.73,2.67,2.91,2.65,1.53,2.26,0.84,2.45,1.17,3.01,0.06,2.67,3.79,5.94,1.96,2.93,5.76,1.35,1.82,2.54,2.95,3.38,2.4,4.8,4.66,0.77,0.41,1.52,3.49,3.13,3.96,2.94,3.9,4.51,0.72,3.52,1.16,3.18,1.9,3.55,3.3,2.15,1.4,4.7,3,1.15,,
July,,,,,,,4.89,4.03,0.76,0.98,1.02,7.24,3.47,4.3,3.77,5.4,4.05,5.02,1.32,6.67,5.1,5.8,6.6,3.57,4.25,1.87,4.07,2.17,5.95,3.3,3.68,2.68,1.53,4.37,2.25,5.75,2.65,2.45,0.75,2.23,3.05,2,3.41,3.84,1.78,2.25,1.96,2.37,4.79,6.34,3.31,0.73,4.64,1.45,4.03,3.77,2.7,2.04,4.23,1.99,6.65,2.75,6.5,5.64,4.66,1.84,3.13,5.46,2.5,3.72,5.73,3.93,4.39,3.19,2.31,2.21,4.34,2.24,4.59,5.74,3.6,1.28,3.25,3.25,3.7,2.92,5.04,4.27,1.95,2.7,4,3.63,2.31,5.2,5.4,0.85,4.95,5.4,3.6,3.4,7.9,,
August,,,,,,,6.05,3.17,4.35,2.18,1.95,2.22,4.83,4.97,6.47,5.14,3.52,6.65,6.35,6.91,2.4,5.73,4.2,3.75,2,1.72,2.7,2.13,4.07,5.65,6.55,9.16,6.32,6.47,7.53,4.28,2.7,6.7,6.18,1.8,6.05,2.9,2.97,6.61,5.97,4.65,4.97,4.9,3.26,2.75,5.88,3.08,6.38,2.52,2.47,5.87,3.98,5.4,3.62,3.52,2.32,5.73,6.24,7.01,6.34,5.71,3.85,7.85,8.11,6.04,6.19,4.82,1.48,2.07,4.5,1.28,2.77,2.48,5.44,1.95,2.2,6.58,4.85,6.82,2.5,1.93,9.56,0.7,3.76,3.44,10.4,5.09,7.24,5.25,6.8,0.95,11.65,5.6,5,0.65,5.2,,
September,,,,,,,7.87,3.4,2.73,8.61,3.08,3.76,7.22,2.55,5.05,4.75,4.7,4.27,4.7,3.25,4.02,2.32,2.75,6.63,2.96,5.05,4.4,5.3,1.58,2.67,4.12,4,4.33,4.52,0.47,2.17,4.58,5.13,1.3,7.45,2.33,0.98,1.12,6.12,1.5,3.45,1.25,1.09,5.15,2.81,0.43,4.1,1.73,1.79,3.64,1.02,2.83,2.8,11.42,3.01,2.73,2.47,4.54,6.5,4.92,3.59,4.71,7.52,1.3,2.7,3.68,2.3,6.85,1.71,3.62,7.14,4.7,2.26,1.79,1.32,5.33,1.06,3.05,2.93,6.84,3.39,7.54,4.6,3.43,2.5,6.66,3.51,4.25,4.9,6.2,3.4,4.6,5.8,5.8,0.4,3,,
October,,,,,,,2.85,4.4,6.23,3.26,9.6,5.77,5.69,7.57,4.95,4.07,2.88,6,4.25,2.26,3.45,3.6,4.55,5,3.3,4.45,5.32,2.3,1.8,4.52,3.8,4.18,6,6.67,4.1,5.8,3.2,2.32,3.67,2.73,6.93,3.35,4.84,10.35,2.42,3.45,6.6,4.49,2.04,4.76,4.15,4.1,4.82,2.11,1.96,1.63,9.94,7.47,4.35,2.57,1.4,3.95,0.79,6.7,4.85,4.97,4.85,4.3,5.22,6.39,6.73,3.13,7.83,3.69,6.05,10.92,4.62,2.4,8.53,1.63,3.9,6.03,7.55,4.22,4.88,6.35,1.14,0.81,2.93,5.73,4.06,1.27,2.82,1.65,9.6,3,2.5,6.5,3.9,5.9,3.3,,
