CARHAMPTON-THE-CROFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST006425,Long,-3.42212,Lat,51.17364,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2097/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.98,4.75,6.76,3.03,4.44,3.89,7.83,2.55,3.2,3.89,4.22,7.9,1.24,0.91,4.26,4,0.75,2.01,3.8,4.22,2.89,,,
February,,,,,,,5.97,1.18,1.89,2.66,4.14,0.37,2.76,0.6,2.97,3.78,1.63,1.88,1.83,7.09,4.85,1.2,1.7,3.78,3.37,0.22,6.33,,,
March,,,,,,,5.29,0.04,1.74,2.53,4.08,2.27,1.35,0.21,1.18,1.04,6.02,1.81,1.31,1.71,3.64,2.17,1.09,4.33,1.47,1.51,2.54,,,
April,,,,,,,2.84,0.25,3.63,3.62,1.91,2.07,0.9,1.58,0.96,3.21,3.7,2.86,2.12,2.47,4,3.33,2.92,0.27,1.06,1.38,0.06,,,
May,,,,,,,2.92,2.52,0.92,1.58,1.93,5.6,3.65,0.81,3.62,5.2,2.73,4.01,2.95,2.61,3.35,3.32,2.35,2.06,4.98,0.6,1.86,,,
June,,,,,,,0.7,2.07,2.18,0.92,1.8,0.48,1.76,2.81,2.24,1.96,1.63,1.94,0.42,0.7,1.27,1.76,2.46,3.51,3.76,1.58,1.79,,,
July,,,,,,,1.81,2.6,4.15,4.37,1.83,1.62,1.82,1.18,3.37,1.9,1.7,2.11,1.74,4.04,1.27,1.62,2.59,2.75,1.01,2.87,3.11,,,
August,,,,,,,0.66,5.08,2.09,0.27,3.75,3.28,2.28,4.22,1.77,5.69,0.77,3.35,2.3,5.83,2.74,5.86,2.77,2.97,0.7,3.38,2.81,,,
September,,,,,,,4.27,1.05,0.8,1.43,0.59,2.17,4.53,3.1,2.39,4.36,1.48,1.72,3.85,5.09,2.76,4.32,4.77,3.48,1.61,5.15,4.59,,,
October,,,,,,,4.41,4.38,2.76,5.34,2.14,3.01,3.27,4.47,4.97,1.48,0.75,3.65,6.83,1.64,1.75,5.01,2.87,3.06,1.88,2.15,2.66,,,
November,,,,,,4.05,2.02,5.81,6.93,8.88,3.24,1.69,3.31,6.63,1.24,7.05,3.23,1.88,5.03,6.83,7.18,4.6,2.97,8.74,3.97,0.86,2.56,,,
December,,,,,,5.19,3.42,5.46,2.58,3.05,4.12,4.59,2.79,4.48,6.27,5,2.59,5.83,2.39,3.56,3.38,2.95,1.42,4.05,6.41,5,2.2,,,
Total,,,,,,,42.29,35.19,36.43,37.68,33.97,31.04,36.25,32.64,34.18,44.56,30.45,38.94,32.01,42.48,40.45,40.14,28.66,41.01,34.02,28.92,33.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Gauge moved from Hawkridge Liscombe Stn No 2112 about 10 miles SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 July 29 Inspection Exposure excellent Gauge slightly out of true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
