ROSEDALE NO. 15,,,,,,,,,,
Grid ref,SE702992,Long,-0.921,Lat,54.383,Elevation,959,ft,,
Station no,3465/8/4,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.69,4.52,6.39,5.86,4.46,7.46,
February,,,,2.10,4.50,4.91,-999.00,2.46,2.47,
March,,,,5.20,0.97,1.96,-999.00,0.38,5.47,
April,,,,4.38,4.60,3.58,4.19,0.42,1.56,
May,,,,1.45,1.82,2.15,2.98,5.59,3.47,
June,,,,2.53,2.83,4.76,1.77,1.76,4.66,
July,,,,3.48,0.58,4.58,1.97,3.56,3.65,
August,,,,3.80,2.64,2.46,2.21,3.77,4.06,
September,,,,1.98,6.31,3.96,2.48,3.76,4.05,
October,,,,3.28,4.80,2.77,3.86,4.28,7.34,
November,,,,4.17,6.39,4.34,5.67,4.43,3.36,
December,,,,7.18,4.80,2.64,7.06,6.48,3.34,
Total,,,,42.24,44.76,44.50,49.39,41.35,50.89,
,,,,,,,,,,
TYRain_1931-1940_20_pt1/038,,,,,,,,,,
,,,,,,,,,,
# Readings for February-March 1937 are apportioned.,,,,,,,,,,
#,,,,,,,,,,
"# No detailed location information. Grid reference selected to match elevation, but just an indicative value.",,,,,,,,,,
