"WESTWOOD (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,NZ096549,Long,-1.851872,Lat,54.888754,,,,,,,
Station no,3554/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.17,2.83,0.81,2.65,2.22,3.57,1.94,2.28,2.66,4.78,,
February,2.86,0.47,1.56,2.12,2.54,2.81,2.53,4.61,0.61,2.52,,
March,3.35,1.38,0.06,1.23,1.99,0.87,1.35,2.57,0.72,2.99,,
April,1.83,1.47,2.40,0.73,0.29,1.06,0.35,2.08,2.10,1.00,,
May,3.94,1.61,2.73,4.27,1.89,0.83,1.83,4.27,0.52,2.36,,
June,1.93,1.58,3.03,1.47,2.42,3.46,1.67,3.20,2.24,0.19,,
July,2.18,0.95,2.09,1.87,1.04,2.85,3.14,4.30,1.01,4.37,,
August,4.87,2.14,4.48,5.60,1.07,8.04,4.43,2.01,0.39,3.68,,
September,1.36,3.66,1.61,2.74,1.04,3.31,3.18,2.19,0.91,2.55,,
October,0.86,3.71,1.82,4.28,1.66,1.70,1.94,1.66,1.80,8.37,,
November,7.04,3.44,1.24,3.94,1.57,0.63,1.96,0.52,5.12,2.56,,
December,2.73,3.44,1.12,2.94,3.46,2.70,2.60,4.77,5.01,2.08,,
Total,35.12,26.68,22.95,33.84,21.20,31.83,26.92,34.46,23.09,37.45,,
Calc annual,35.12,26.68,22.95,33.84,21.19,31.83,26.92,34.46,23.09,37.45,,
Difference,0.00,-0.00,0.00,0.00,0.01,0.00,-0.00,0.00,-0.00,0.00,,
