BRADFORD (PEEL PARK),,,,,,,,,,,,
Grid ref,SE168348,Long,-1.746359,Lat,53.809223,,,,,,,
Station no,3265/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.09,3.70,0.37,2.68,2.23,5.25,1.66,3.06,3.12,5.27,,
February,3.37,0.79,2.66,2.97,2.86,1.42,2.90,5.27,0.20,2.63,,
March,3.75,2.00,1.31,2.26,2.68,0.98,2.02,2.09,1.44,1.84,,
April,1.47,1.71,2.29,0.34,0.84,3.29,0.21,0.72,3.24,1.57,,
May,4.95,1.80,1.70,3.15,2.12,0.84,1.29,4.01,1.14,1.52,,
June,1.09,1.74,2.81,1.67,1.54,2.10,1.56,4.81,1.97,1.17,,
July,2.61,1.11,2.99,1.49,0.78,4.56,2.30,4.10,2.42,4.35,,
August,4.96,3.29,3.24,6.52,0.82,6.14,4.73,3.01,0.52,4.46,,
September,2.45,2.21,2.55,3.38,1.29,3.26,4.35,3.17,0.11,3.10,,
October,1.16,4.02,2.21,5.24,2.33,1.53,2.63,2.91,3.54,6.87,,
November,7.59,1.56,3.31,5.39,2.52,1.03,1.82,0.84,4.42,6.47,,
December,4.48,2.85,1.70,3.58,4.31,3.32,3.99,4.41,6.37,2.45,,
Total,40.97,26.78,27.14,38.67,24.32,33.72,29.46,38.40,28.49,41.70,,
Calc annual,40.97,26.78,27.14,38.67,24.32,33.72,29.46,38.40,28.49,41.70,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
