"NEWCASTLE NORTHUMBERLAND ROAD",,,,,,,,,,,,
Grid ref,NZ250647,Long,-1.610956,Lat,54.976288,,,,,,,
Station no,RR4820,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.75,1.24,0.91,2.42,1.67,0.39,1.96,0.37,1.14,0.83,,
February,5.00,1.25,1.03,1.31,2.60,0.80,0.89,0.90,1.18,1.64,,
March,1.59,1.28,0.78,1.20,1.31,1.05,1.12,1.04,3.25,4.26,,
April,1.36,0.95,1.28,1.27,1.40,2.83,1.27,3.14,2.59,2.68,,
May,1.41,1.99,2.19,2.00,2.39,0.42,3.74,4.16,1.81,1.62,,
June,4.51,1.19,1.67,2.58,1.70,1.16,1.35,2.10,0.40,2.23,,
July,1.43,3.38,2.89,4.17,1.40,1.79,2.06,1.57,2.98,2.38,,
August,5.77,1.85,2.55,1.81,2.06,2.06,3.25,2.25,1.52,2.97,,
September,0.88,0.97,0.53,2.11,0.98,1.67,0.49,0.57,1.62,1.72,,
October,5.81,2.24,2.44,7.10,0.67,2.53,3.47,4.79,1.36,2.03,,
November,2.82,4.52,1.15,2.19,2.30,3.64,2.63,1.41,1.17,0.61,,
December,1.81,3.15,2.88,1.78,1.76,0.41,2.35,2.88,1.01,3.86,,
Total,35.14,24.01,20.30,29.94,20.24,18.75,24.58,25.18,20.03,26.83,,
Calc annual,35.14,24.01,20.30,29.94,20.24,18.75,24.58,25.18,20.03,26.83,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
