CAMPBELTOWN REDKNOWE,,,,,,,,,,,,
Grid ref,NR711203,Long,-5.618767,Lat,55.422982,,,,,,,
Station no,RR6125,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,4.03,7.53,4.85,4.04,5.52,2.55,4.51,4.31,,
February,,,2.39,3.64,3.64,3.62,3.94,2.75,3.36,2.95,,
March,,,3.69,5.24,2.41,3.83,3.15,4.81,5.63,3.33,,
April,,,2.03,1.77,3.62,2.35,1.85,2.81,3.91,3.50,,
May,,,4.24,3.69,2.37,1.51,4.38,5.91,1.86,2.65,,
June,,,2.46,1.55,1.34,2.44,1.73,4.34,2.81,2.72,,
July,,0.87,3.14,4.33,3.09,2.56,2.95,3.00,3.75,4.46,,
August,,4.67,2.36,6.69,4.97,4.86,3.79,5.55,3.90,3.20,,
September,,4.27,4.75,2.86,5.33,2.90,2.29,1.65,5.90,2.51,,
October,,5.99,2.41,11.27,2.84,5.74,7.04,6.21,2.12,5.16,,
November,,4.97,6.17,4.80,4.82,6.41,5.91,4.99,4.52,1.99,,
December,,5.48,4.87,5.46,4.66,3.17,5.24,5.57,5.96,5.47,,
Total,,,42.54,58.83,43.94,43.43,47.79,50.14,48.23,42.25,,
Calc annual,0.00,26.25,42.54,58.83,43.94,43.43,47.79,50.14,48.23,42.25,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
