CAMPBELTOWN REDKNOWE,,,,,,,,,,,,,,,,,,,,
Grid ref,NR711203,Long,-5.618767,Lat,55.422982,Elevation,75,ft,,,,,,,,,,,,
Station no,RR6125,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.03,7.53,4.85,4.04,5.52,2.55,4.51,4.31,4.43,3.44,4.44,5.48,3.73,4.11,4.95,2.87,4.75,
February,,,2.39,3.64,3.64,3.62,3.94,2.75,3.36,2.95,8.51,5.59,4.02,2.26,7.42,5.92,5.05,1.39,6.34,
March,,,3.69,5.24,2.41,3.83,3.15,4.81,5.63,3.33,2.33,1.48,7.15,4.38,5.37,2.35,1.99,2.48,2.1,
April,,,2.03,1.77,3.62,2.35,1.85,2.81,3.91,3.5,3.56,3.06,1.99,4.76,3.32,2.66,3.41,2.54,1.17,
May,,,4.24,3.69,2.37,1.51,4.38,5.91,1.86,2.65,3.85,2.9,1.82,4.08,2.65,1.89,4.83,5.31,4.25,
June,,,2.46,1.55,1.34,2.44,1.73,4.34,2.81,2.72,2.18,2.33,6.45,2.77,1.83,1.82,1.41,2.59,,
July,,0.87,3.14,4.33,3.09,2.56,2.95,3,3.75,4.46,4.05,3.5,3.55,1.38,2.34,3.02,2.43,3.78,,
August,,4.67,2.36,6.69,4.97,4.86,3.79,5.55,3.9,3.2,6.26,2.56,6.1,1.55,3.97,2.69,3.25,5.2,,
September,,4.27,4.75,2.86,5.33,2.9,2.29,1.65,5.9,2.51,1.13,3.52,2.34,2.8,3.64,0.88,2.25,2.11,,
October,,5.99,2.41,11.27,2.84,5.74,7.04,6.21,2.12,5.16,2.05,4.54,5.73,4.36,2.48,4.56,6.58,11.51,,
November,,4.97,6.17,4.8,4.82,6.41,5.91,4.99,4.52,1.99,5.48,6.03,5.16,6.79,5.81,3.56,5.14,8.35,,
December,,5.48,4.87,5.46,4.66,3.17,5.24,5.57,5.96,5.47,6.08,9.43,8.67,3.77,7.7,7.22,6,4.56,,
Total,,,42.54,58.83,43.94,43.43,47.79,50.14,48.23,42.25,49.91,48.38,57.42,44.38,50.26,40.68,47.29,52.69,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6125,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
