BALLINASLOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IM8486231035,Long,-8.227975,Lat,53.329576,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,3.25,3.91,3.94,4.1,5.12,7.6,3.43,5.71,1.77,5.12,3.61,3.14,0.88,0.82,2.53,5.88,5.4,2.73,4,2.96,2.69,2.94,6.08,1.85,1.7,2.27,4.48,2.38,1.59,2.01,3.52,4.43,5.43,3.3,3.42,4.96,4.04,2.26,5.7,2,3.36,2.55,3.76,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.64,4.36,3.22,3.53,3.09,1.07,1.77,0.9,3.81,2.89,1.77,3.09,2.94,4.2,2.38,4.49,3.66,3.2,2.17,1.62,0.54,2.55,0.68,0.24,2.17,3.32,4.69,0.87,1.63,2.44,2.14,3.29,2.52,0.98,2.36,4.21,5.17,1.63,3.04,2.6,2.07,1.35,4.86,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.97,2.45,2.06,2.11,2.34,3.31,2.83,1.02,3.68,2.23,1.6,2.63,4.02,2.45,3.45,0.92,3.35,2.07,3.72,1.28,3.09,1.97,2.66,1.51,0.68,0.6,2.51,3.27,4.37,4.75,1.16,1.94,0.8,3.25,2.64,6.45,2.88,4.26,2.58,2.93,3.83,2.63,2.36,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.78,2.91,1.74,3.04,1.91,2.54,2.55,1.48,2.48,3.25,1.73,1.9,3.69,1.09,3.65,2.7,1.01,2.35,3.37,1.64,1.57,2.35,1.16,2.61,1.08,0.81,4.19,1.19,1.02,4.78,3.16,3.47,2.6,3.41,3.12,1.44,2.08,1.33,1.58,2.31,2.35,5.08,2.94,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.35,3.75,2.95,1.44,2.33,2.34,2.18,2.54,0.67,3.45,4.38,1.76,1.53,2.53,3.31,2.32,3.22,2.09,3.88,1.89,2.53,3.59,1.65,2.49,5.26,2.4,3.21,1.3,0.24,1.5,2.83,2.9,4.05,1.9,2.23,1.91,2.8,1.19,3.7,3.71,3.43,1.84,1.72,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.27,0.73,0.68,3.21,4.12,2.98,1.95,3.8,1.54,3.75,5.17,4.74,3.85,4.6,2.81,2.98,0.63,0.73,1.3,0.42,4.55,1.15,2.51,2.34,1.9,2.29,2.1,0.97,2.61,5.37,2.99,2.82,4.76,3.61,1.75,2.04,1.65,2.49,2.05,4.21,1.76,1.94,3.8,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.17,2.19,1.52,5.29,1.84,5.6,3.35,2.19,1.57,2.58,1.14,3.71,5.81,2.02,6.38,3.32,2.69,2.75,3.06,2.6,4.91,1.91,2.81,1.34,5.08,3.42,4.2,4.36,7.62,2.47,1.81,1.87,2.68,1.66,1.62,4.58,3.78,1.04,3.64,2.89,1.46,2.31,2.36,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,5.15,1.48,1.76,2.51,4.79,5.53,5.15,2.3,4.33,4.82,4.78,4.36,2.3,4.44,3.79,4.48,2.42,2.38,2.45,2.49,2.81,4.21,2.86,6.82,6.5,3.78,3.44,4.47,2.3,7,6.84,2.58,6.34,2.72,2.01,6.69,4.82,5.72,4.07,3.03,3.18,0.89,4.64,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.71,7.61,2.73,1.66,4.11,3.91,4.98,5.54,5.23,3.53,3.37,4.5,2.17,3.72,1.51,4.29,2.31,5.3,3.34,2.99,0.83,1.44,3.42,2.97,4.76,1.6,0.23,0.57,5.73,2.15,3.34,2.7,2.07,4.8,1.75,4.3,3.11,2.11,1,1.42,4.24,2.33,1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.03,1.36,8.68,4.18,4.86,3.93,5.61,3.86,4.33,4.08,3.31,1.47,1.09,2.76,3.43,3.16,2.8,3.63,4.64,2.88,1.1,4.43,2.01,4.47,1.68,3.17,4.23,3.24,2.92,3.07,2.87,1.77,6.3,3.82,1.59,4.59,2.77,1.5,4.69,4.31,1.39,4.35,1.51,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.34,4.21,1.67,1.67,5.83,2.04,3.51,3.43,3.07,6.37,1.78,0.66,5.3,6.17,5.49,4.66,3.81,2.24,3.55,3.12,3.23,1.55,6.5,2.23,4.47,1.97,5.63,4.83,1.28,4.33,4.1,3.66,4.9,4.46,4.8,2.35,2.7,2.5,1.62,3.61,3.02,2.33,3.55,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
