DUNSFOLD-DURFOLD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU993332,Long,-0.58351543,Lat,51.089528,Elevation,225,ft.,,,,,,,,,,,,
Station no,RR8291,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.5,1.24,1,2.63,4.88,1.43,6.97,0.88,1.18,0.94,2.92,1.32,3.07,4.71,0.64,,,,,
February,5.66,1.76,1.76,1.86,3.6,0.51,2.61,1.4,1.08,0.33,3.68,1.82,2.52,1.17,5.45,,,,,
March,0.67,1.83,1.64,3.38,1.12,4.09,1.16,0.81,2.8,4.04,0.87,1.9,3.97,3.47,5.02,,,,,
April,0.77,2.6,1.18,2.42,1.37,1.19,0.42,3.43,2.5,1.9,1.64,1.48,0,3.19,1.31,,,,,
May,0.87,0.73,2.06,2.89,2.88,0.34,2.12,1.84,1.77,2.05,1.93,1.15,1.3,2.35,2.38,,,,,
June,3.16,1.84,3.22,4.13,0.56,4.02,1.33,1.56,2.3,2.59,2.47,2.33,2.98,0.85,0.47,,,,,
July,0.95,1.85,1.06,3.39,1.25,0.49,0.74,1.44,2.68,2.57,2.26,0.44,2.19,1.9,1.92,,,,,
August,2.29,1.87,4.49,6.33,2.1,2.92,0.42,2.01,4.43,2.2,2.72,0.7,5.98,2.54,1.2,,,,,
September,1,2.41,0.51,3.6,4,2.28,1.71,0.69,1.43,2.55,0.36,1.46,3.79,2.79,1.08,,,,,
October,2.19,2.94,2.39,8.69,2.21,1.62,5.08,6.26,2.86,6.53,2.87,4.91,3.65,5.55,1.63,,,,,
November,2.66,0.6,3.1,1.69,1.24,4.3,4.62,3.52,1.05,0.59,3.64,4.53,2.13,2.93,4.13,,,,,
December,3.32,4.71,1.39,2.56,3.23,0.67,1.97,3.44,3.07,4.34,4.77,8.24,4.09,1.7,9.13,,,,,
Total,27.04,24.38,23.8,43.57,28.44,23.86,29.15,27.28,27.15,30.63,30.13,30.28,35.67,33.15,34.36,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Durfold. Altitudes match.,,,,,,,,,,,,,,,,,,,,
