"HAYNFORD (GROVE COTTAGE)",,,,,,,,,,,,
Grid ref,TG232177,Long,1.302789,Lat,52.710905,,,,,,,
Station no,1431/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.36,2.33,1.49,2.12,,3.20,2.03,2.15,3.12,3.80,,
February,3.14,1.88,1.75,2.36,,2.17,2.72,3.76,0.21,1.69,,
March,3.34,2.45,0.75,2.36,,0.98,2.00,1.28,1.38,1.11,,
April,3.29,1.11,1.68,0.66,,0.88,0.34,0.87,1.74,0.81,,
May,1.59,1.11,1.13,1.76,2.11,0.66,,3.62,0.41,0.38,,
June,1.40,1.41,2.09,2.06,2.16,2.53,,2.79,0.50,1.07,,
July,1.79,2.05,1.87,2.99,0.48,2.53,,3.31,1.68,3.11,,
August,2.80,1.72,2.51,6.47,0.65,3.51,,2.65,1.52,3.17,,
September,2.21,2.98,1.79,1.99,1.82,1.25,,2.36,0.08,3.74,,
October,0.92,2.39,2.51,2.53,4.78,3.60,1.38,1.86,2.18,4.09,,
November,2.65,4.87,1.42,4.35,0.79,1.53,2.01,1.14,2.16,2.95,,
December,1.53,2.79,1.08,1.90,1.77,1.80,2.54,2.73,3.01,3.80,,
Total,28.02,27.09,20.07,31.55,,24.64,,28.52,17.99,29.72,,
Calc annual,28.02,27.09,20.07,31.55,14.56,24.64,13.02,28.52,17.99,29.72,,
Difference,0.00,0.00,0.00,0.00,NaN,-0.00,NaN,0.00,-0.00,0.00,,
