ARMADALE SEWAGE WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS938693,Long,-3.700256,Lat,55.905052,Elevation,417,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5152/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.31,5.22,1.86,1.82,4.24,3.23,3.67,2.43,3.61,2.86,6.61,4.07,2.43,4.4,2.75,1.27,3.8,2.2,2.05,5.41,3.44,1.49,3.79
February,,,,,,,,1.48,3.92,1.35,3.52,1.71,2.7,1.19,4.84,2.61,1,3.47,4.32,3.48,2.25,0.91,1.52,2.51,2.45,1.5,3.55,2.36,1.6,3.18
March,,,,,,,,3.77,3.64,3.31,2.49,1.19,1.86,0.29,2.22,2.74,3.93,2.53,1.33,3.22,3.69,1.93,0.88,2.15,1.6,2.21,3.1,1.69,1.61,1.75
April,,,,,,,,0.44,1.63,3.25,1.82,2.03,1.58,2.37,1.5,0.9,4.22,2.51,3.09,3.3,3.47,1.59,2.46,1.62,1.08,0.46,2.15,1.87,2.51,2.7
May,,,,,,,,4.86,1.16,2.45,4.33,2.47,3.94,2.58,4.6,1.69,3.22,1.71,1.69,2.27,2.22,1.33,2.71,4.65,3.25,2.18,1.86,3.79,1.03,1.82
June,,,,,,,,4.75,1.66,0.46,0.71,1.19,3.15,2.75,3.11,2.93,3.67,5.78,0.91,2.49,3.03,2.95,2.03,2.19,1.74,3.14,2.1,3.68,2.32,1.21
July,,,,,,,,3.31,4.61,5.8,2.7,2.81,2.72,2.38,3.24,3.53,2.46,3.24,1.82,6.02,5.9,2.89,5.51,2.84,1.21,4.47,3.68,6.69,4.9,2.51
August,,,,,,,,1.84,1.29,1.46,4.1,2.86,4.04,4.51,2.74,3.68,0,6.77,3.85,4.3,4.13,4.78,3.26,6.79,1.28,6.08,4.24,5.46,0.82,3.06
September,,,,,,,,3.53,2.1,3.52,0.85,3.75,2.08,4.48,5.13,6.15,3.19,4.74,1.77,7.87,2.12,2.6,3.31,3.89,2.38,3.65,2.19,4.12,0.91,2.29
October,,,,,,,,7.96,2.55,3.88,3.41,3.87,4.89,4.3,4.53,0.61,1.39,3.5,5.87,2.68,0.77,3.2,2.22,8.06,2.08,2.42,3.73,2.66,3.83,3.52
November,,,,,,,0.57,6.86,6.85,5.04,2.08,0.6,1.3,6.8,0.51,4.58,4.94,3.5,4.01,3.9,5.39,2.5,6.18,4.83,1.36,1.13,2.41,1.57,6.99,3.96
December,,,,,,,2.26,2.21,1.21,3.18,1.86,2.46,1.55,3.46,2.87,3.14,2.94,4,7.41,2.5,5.67,3.32,4.07,5.19,5.06,4.18,4.49,5.44,4.98,4.04
Total,,,,,,,,47.32,35.84,35.56,29.69,29.18,33.04,38.78,37.72,36.17,33.82,48.36,40.14,44.46,43.04,30.75,35.42,48.52,25.69,33.47,38.91,42.77,32.99,33.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948 Aug 3.24, Oct 3.5, Nov 3.5, Dec 4 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
