"BESSBROOK (THE WOODHOUSE)",,,,,,,,,,,,
Grid ref,IJ051284,Long,-6.390308,Lat,54.193908,,,,,,,
Station no,6191,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.11,5.39,1.06,2.32,4.45,2.70,5.74,3.69,3.06,4.40,,
February,3.63,0.68,1.33,4.93,4.50,0.91,3.38,3.77,1.36,3.58,,
March,2.19,2.10,0.52,3.85,1.19,2.44,3.74,1.14,4.33,3.21,,
April,2.23,1.83,1.81,0.69,2.90,1.00,1.31,0.94,3.16,3.67,,
May,1.45,1.92,1.93,5.06,2.98,1.24,2.16,3.35,1.83,2.28,,
June,2.84,2.64,1.98,2.52,4.21,3.38,0.85,5.99,1.36,2.03,,
July,3.80,1.38,4.67,4.27,1.62,3.79,3.74,4.85,5.70,5.43,,
August,5.84,3.99,3.90,2.85,1.19,6.91,4.77,6.54,1.15,4.23,,
September,2.89,1.81,4.47,5.63,3.33,4.20,4.01,5.11,2.02,3.43,,
October,0.97,6.29,2.55,8.19,2.40,2.40,4.51,2.65,6.09,6.61,,
November,7.34,3.23,3.56,6.82,2.74,2.28,1.58,1.92,4.31,4.55,,
December,5.48,3.62,3.23,4.57,4.77,6.46,5.30,5.30,8.40,2.94,,
Total,42.77,34.88,31.01,51.70,36.28,37.71,41.09,45.25,42.77,46.36,,
Calc annual,42.77,34.88,31.01,51.70,36.28,37.71,41.09,45.25,42.77,46.36,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
