"NAVENBY RECTORY",,,,,,,,,,,,
Grid ref,SK985578,Long,-0.530036,Lat,53.108306,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.16,1.07,0.88,1.70,1.98,0.65,2.55,1.63,0.97,0.97,,
February,3.42,1.87,1.82,0.56,2.51,0.71,1.76,1.06,2.35,0.52,,
March,0.58,2.00,1.39,3.42,1.56,1.71,1.59,1.64,2.65,3.31,,
April,1.12,1.49,1.92,1.74,1.07,1.51,0.80,1.67,2.19,1.68,,
May,1.39,1.09,2.99,2.04,3.05,0.65,1.65,4.76,1.72,0.88,,
June,2.05,1.79,2.11,1.16,0.52,2.58,2.04,3.29,1.09,3.17,,
July,1.53,2.19,1.35,3.21,2.68,1.25,1.51,1.78,2.54,4.00,,
August,5.47,1.65,3.90,5.16,2.78,3.07,1.90,1.76,2.71,3.34,,
September,1.11,1.36,0.97,3.57,1.53,2.65,1.08,0.73,1.69,2.27,,
October,2.43,1.80,2.42,5.71,0.42,1.45,4.74,4.44,0.95,2.49,,
November,2.24,1.96,1.62,1.65,0.73,2.52,2.84,2.21,1.35,0.36,,
December,3.68,4.67,1.66,0.74,1.54,0.57,2.45,2.14,1.56,4.06,,
Total,27.18,22.94,23.03,30.66,20.37,19.32,24.91,27.11,21.77,27.05,,
Calc annual,27.18,22.94,23.03,30.66,20.37,19.32,24.91,27.11,21.77,27.05,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
