NAVENBY RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK986579,Long,-0.529,Lat,53.109,Elevation,216,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935
January,2.13,1.27,0.61,2.42,1.73,1.31,1.80,1.66,2.88,1.49,1.39,0.23,0.64,1.90,2.03,1.87,1.46,2.79,1.98,0.51,1.57,2.03,1.28,1.09,,,,,,,,2.16,1.07,0.88,1.70,1.98,0.65,2.55,1.63,0.97,0.97,1.78,1.41,3.15,2.58,1.23,2.73,,2.32,1.53,3.85,1.28,1.82,2.14,1.74,1.68,1.45,2.48,1.54,3.30,1.60,2.34,2.59,0.90,1.75,2.13,2.51
February,2.08,1.69,1.95,2.51,1.84,1.56,1.51,2.07,2.13,1.30,2.65,1.67,3.50,1.32,2.78,1.38,2.27,0.18,0.55,1.66,1.82,1.07,0.11,2.00,,,,,,,,3.42,1.87,1.82,0.56,2.51,0.71,1.76,1.06,2.35,0.52,1.93,0.95,1.20,0.72,0.99,2.32,,0.98,1.40,2.53,1.79,0.31,2.67,3.00,0.86,1.67,1.10,1.58,1.07,0.72,0.50,2.73,0.60,2.75,1.01,2.31
March,2.64,1.30,1.34,1.64,1.51,0.79,0.69,2.55,2.34,0.65,0.96,1.72,2.17,1.05,1.46,1.07,1.20,2.44,1.50,2.86,2.59,1.60,1.19,1.02,,,,,,,,0.58,2.00,1.39,3.42,1.56,1.71,1.59,1.64,2.65,3.31,0.53,1.81,2.36,3.26,2.28,0.98,,1.63,0.65,2.85,2.66,0.80,1.28,1.54,0.80,1.26,0.61,1.82,1.70,0.35,2.58,0.48,1.66,3.02,1.78,0.46
April,2.59,0.58,3.71,3.74,0.73,0.96,0.61,3.06,2.57,1.68,2.69,2.24,0.90,3.15,2.04,1.01,1.93,1.25,0.81,2.37,2.05,0.47,2.00,1.34,,,,,,,,1.12,1.49,1.92,1.74,1.07,1.51,0.80,1.67,2.19,1.68,1.87,0.81,0.23,2.01,1.12,0.69,,1.60,1.46,2.17,4.47,1.03,2.27,0.90,1.46,1.28,2.43,1.72,1.02,1.08,3.29,2.76,1.82,1.26,2.99,2.88
May,5.10,0.62,1.07,1.45,2.38,1.20,1.44,0.67,2.00,3.94,3.91,1.07,1.94,2.00,1.84,0.86,1.74,4.81,1.73,0.55,4.08,1.86,3.27,2.65,,,,,,,,1.39,1.09,2.99,2.04,3.05,0.65,1.65,4.76,1.72,0.88,2.67,0.96,2.80,2.20,1.65,2.17,,1.71,2.55,0.77,2.42,1.68,0.53,2.38,3.12,3.32,2.38,0.91,1.41,1.43,1.70,2.61,4.72,1.53,0.57,0.52
June,1.59,1.38,2.31,3.79,2.03,0.52,2.22,2.97,1.15,1.51,4.28,3.80,1.57,3.73,8.29,0.64,2.35,0.89,0.42,1.56,0.54,1.49,2.73,2.63,,,,,,,,2.05,1.79,2.11,1.16,0.52,2.58,2.04,3.29,1.09,3.17,1.35,3.00,3.35,0.66,2.53,1.10,,1.22,0.62,1.21,2.52,0.60,1.22,1.10,1.51,0.17,3.01,3.10,2.35,0.96,1.04,2.36,0.58,3.40,0.71,3.47
July,0.75,1.17,4.03,4.23,1.62,1.31,4.15,1.13,2.38,0.62,4.08,5.59,1.40,1.93,3.48,3.14,0.40,2.54,1.11,5.16,1.86,1.96,2.40,2.80,,,,,,,,1.53,2.19,1.35,3.21,2.68,1.25,1.51,1.78,2.54,4.00,2.70,0.27,4.59,0.47,2.86,5.02,,1.21,2.47,2.88,2.43,0.38,4.90,3.96,1.95,0.83,1.71,2.07,1.10,1.46,4.70,4.43,5.19,1.75,3.00,0.34
August,1.40,1.27,1.21,2.60,3.01,2.18,1.55,2.12,3.40,6.69,3.03,1.50,5.13,3.74,1.30,1.30,1.93,1.92,1.16,2.33,2.87,1.49,3.77,1.38,,,,,,,,5.47,1.65,3.90,5.16,2.78,3.07,1.90,1.76,2.71,3.34,3.87,1.32,5.52,0.91,1.44,4.09,,4.47,1.87,2.98,1.33,4.15,3.23,2.43,2.32,1.86,2.98,3.95,3.25,1.78,2.14,4.51,1.81,0.58,2.46,3.06
September,3.58,1.00,4.80,3.18,1.84,1.74,1.87,3.73,2.25,2.01,3.30,5.48,2.52,2.49,5.27,0.95,3.77,1.67,2.57,1.61,1.84,1.06,1.14,2.69,,,,,,,,1.11,1.36,0.97,3.57,1.53,2.65,1.08,0.73,1.69,2.27,0.56,1.70,1.33,1.50,1.16,0.68,,0.98,3.52,2.59,1.82,0.84,2.36,2.17,2.50,2.76,0.99,4.52,0.42,0.64,4.76,3.33,2.12,2.27,1.48,5.15
October,1.67,4.00,1.34,3.53,1.37,1.89,4.61,2.04,1.41,2.49,0.83,5.40,2.16,5.05,2.93,0.95,5.49,3.67,2.04,0.48,4.37,0.86,4.32,5.14,,,,,,,,2.43,1.80,2.42,5.71,0.42,1.45,4.74,4.44,0.95,2.49,1.93,1.85,1.77,5.70,2.18,1.19,,2.81,1.73,1.91,1.10,2.33,1.17,2.28,4.70,2.72,2.18,1.96,4.21,2.32,1.55,0.64,3.59,3.36,1.43,2.64
