DONEGAL REVLIN,,,,,,,,,,,,,,,,,,,,
Girf ref,IG920782,Long,-8.12387,Lat,54.65194,Elevation,203,ft,,,,,,,,,,,,
Station no,RR2883,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,3.58,1.08,3.01,,,,,,,
February,,,,,,,,,,,2.93,3.81,3.1,,,,,,,
March,,,,,,,,,,2.63,3.04,3.57,3.36,,,,,,,
April,,,,,,,,,,1.89,3.63,2.06,2.87,,,,,,,
May,,,,,,,,,,3.66,2.7,2.05,1.84,,,,,,,
June,,,,,,,,,,3,6.47,4.74,5.57,,,,,,,
July,,,,,,,,,,5.63,5.08,3.59,4.82,,,,,,,
August,,,,,,,,,,5.11,2.1,2.41,4.02,,,,,,,
September,,,,,,,,,,8.57,3.07,3.13,4.35,,,,,,,
October,,,,,,,,,,3.46,0.54,3.54,3.58,,,,,,,
November,,,,,,,,,,1.47,5.93,4.1,8.33,,,,,,,
December,,,,,,,,,,2.46,4.6,4.67,4.66,,,,,,,
Total,,,,,,,,,,,43.67,38.75,49.51,,,,,,,
