SHELSLEY BEAUCHAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO731630,Long,-2.395576,Lat,52.264498,Elevation,132,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2389/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3,1.79,2.19,0.9,3.37,3.12,2.83,6.21,3.55,3.93,2.77,5.37,2.14,1.79,2.97,1.95,5.25,1.6,0.66,2.44,2.3,0.67,1.22,2.2,,1.13,,2.68,
February,,0.2,3.87,0.25,2.01,2.43,4.65,0.63,0.8,2.7,2.34,0.52,1.2,1.12,1.92,1.61,1.77,1.02,1.02,4.66,2.82,0.65,1.32,2.42,1.33,,3.13,,0.11,
March,,1.67,2.25,1.58,0.66,2.99,2.94,0.28,0.87,1.52,3.35,2.24,1.24,0.48,0.71,0.81,6.27,1.31,1.98,1.75,4.69,1.86,0.81,2.45,2.65,0.97,1.72,,2.18,
April,,4.02,0.83,2.42,3.53,1.84,2.08,0.05,2.35,2.46,1.77,1.33,0.75,1.52,0.98,2.16,2.51,2.01,2.42,2.12,2.82,2.49,2.67,0.3,0.99,1.86,0.17,,3.1,
May,,6.71,1.29,1.06,0.93,1.04,2.9,1.31,0.87,2.46,1.96,4.26,2.96,0.56,2.69,3.07,2.25,2.4,2.49,1.59,3.01,3.01,2.35,2.34,4.73,0.54,1.5,,1.09,
June,,0.87,1.96,0.89,2.55,3.61,0.59,1.19,1.29,0.57,3.59,0.19,1.44,1.13,3.17,2.9,1.62,2.19,0.39,1.95,0.67,1.68,1.49,4.07,4.11,1.67,1.4,,1.15,
July,,2.23,1.26,1.23,0.44,5.07,2.53,3.27,4.84,2.13,2.54,0.93,1.05,2.51,2.68,1.65,3.17,1.27,1.91,2.68,0.75,1.13,2.61,2.33,0.87,2.2,2.61,,2.17,
August,,2.97,0.73,1.92,1.55,0.41,0.72,2.47,1.39,0.03,3.72,1.95,1.62,2.01,2.63,7.13,1.22,4.78,0.94,3,3.97,4.68,2.79,3.71,1.02,4.69,5.84,,2.93,
September,,2.59,0.74,1.53,2.91,2.63,0.98,1.33,0.73,1.16,1.2,1.33,2.46,2.85,1.96,4.2,1.16,2.47,0.97,3.42,2.77,1.46,2.04,1.46,1.27,4.07,4.47,,0.09,
October,,3.6,5.33,1.24,2.45,1.31,2.69,2.69,3.03,4.29,2.14,1.95,2.01,2.89,3.08,0.7,0.33,2.61,5.2,0.72,1.07,4.72,2.36,2.7,1.95,1.7,1.57,,2.24,
November,,1.24,0.51,1.64,5.27,2.81,1.44,3.52,4.51,6.63,2.85,0.88,1.79,3.9,0.51,5.38,2.16,1.53,2.42,3.69,6.99,2.77,1.36,5.51,2.74,0.73,2.63,,3.54,
December,,1.05,0.41,4.92,3.01,3.06,1.85,3.21,1.77,1.3,1.64,3.39,1.49,1.67,3.52,1.97,1.88,4.61,1.53,1.68,2.64,2.35,1.14,1.55,3.28,2.79,2.43,,3.89,
Total,,30.15,20.97,20.87,26.21,30.57,26.49,22.78,28.66,28.8,31.03,21.74,23.38,22.78,25.64,34.55,26.29,31.45,22.87,27.92,34.64,29.1,21.61,30.06,27.14,,28.6,,25.17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1956 Jan, Feb and total estimated hence removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
