MENAIFRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH460637,Long,-4.3036,Lat,53.1485,Elevation,14,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,5.39,4.88,4.14,6.68,3.57,3.18,6.78,7.63,4.47,,,,,1.06,1.41,1.45,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,4,3.34,3.87,1.64,1.39,2.76,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.32,3.28,1.92,3.37,2.85,2.08,2.87,4.06,1.53,1.52,,,,,4.36,2.38,2.43,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,1.62,5.05,4.05,4.2,1.12,2.82,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.03,2.52,2.05,3.64,1.67,2.58,1.98,3.77,3.57,2.14,,,,,1.68,2.43,2.04,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,3.6,3.75,1.32,2.06,1.78,1.08,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.29,1.11,3.93,1.99,2.12,1.96,2.12,2.18,1.01,1.97,,,,,1.23,2.18,1.82,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,3.53,0.61,2.24,2.25,1.82,0.89,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,5.17,1.96,1.44,1.4,2.95,1.36,0.87,2.03,1.79,2.25,,,,,2.98,1.52,4.11,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,2.38,2.09,1.36,4.3,2.25,3.52,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.34,5.06,0.76,0.24,1.2,1.17,1.5,5.36,0.97,0.88,,,,,3.85,3.25,3.37,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,2.97,2.44,0.78,1.36,1.5,1.87,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.68,0.8,3.62,1.12,0.75,0.76,3.69,3.71,2.99,1.89,,,,,4.76,6.09,3.43,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,5.03,1.72,3.88,2.38,2.46,1.42,4.08,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.19,2.7,1.9,2.81,1.92,1.94,1.49,3.94,3.89,5.31,,,,,7.96,2.41,4.83,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,5.59,2.33,1.63,1.36,1.19,10.08,1.61,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.62,7.43,3.43,2.17,10.21,2.22,2.65,8,3.02,3.93,,,,,3.97,3.2,1.65,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,1,6.06,2.42,2.05,3.23,2.36,9.29,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.48,2.24,5.13,3.98,4.45,7.61,6.09,10.36,6.76,3.15,,,,,1.79,4.58,2.7,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,5.39,3.87,1.36,1.69,4.73,7.7,4.8,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,4.42,3.83,1.38,2.94,3.66,5.9,1.36,5.82,1.63,,,,,,1.21,4.73,4.64,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43,4.51,4.83,4.25,3.29,2.53,3.24,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,3,3.71,3.76,8.74,4.05,2.92,3.88,7.68,1.89,,,,,,2.23,5.45,5.04,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,3.06,2.38,7.74,6.74,2.19,1.85,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,40.03,34.2,36.54,42.51,34.07,31.68,63.69,36.68,,,,,,37.08,39.63,37.51,41.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,39.29,38.56,31.13,32.14,36.51,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_24_pt1-page-259 added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
