CHASETOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK042079,Long,-1.9393285,Lat,52.668796,Elevation,508,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2337/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.95,1.61,2.33,1.06,3.19,3.55,2.95,6.08,2.92,3.95,3.55,4.69,2.65,2.25,2.25,1.61,4.13,1.62,0.73,3.21,2.49,,,,,,,,
February,,0.31,3.94,0.29,2.5,2.37,3.96,0.68,1.17,2.53,3.1,1.34,1.07,2.08,2.06,2.69,,0.92,0.66,4.54,2.67,0.79,,,,,,,,
March,,1.65,3.07,2.15,0.56,1.74,2.94,0.63,1.36,1.99,2.62,1.92,1,0.43,0.95,1,,1.1,1.8,0.92,4.15,1.92,,,,,,,,
April,,3.15,0.9,1.96,3.92,2.16,2.65,0.16,1.98,3.12,1.58,1.17,0.82,1.88,2.06,1.39,,1.86,2.9,1.79,2.19,2.32,,,,,,,,
May,,6.04,1.66,0.93,0.87,0.85,3.42,1.34,1.46,2.21,2.75,4.25,3.57,0.46,3.67,2.64,2.85,2.19,2.23,1.35,3.91,2.58,,,,,,,,
June,,0.8,2.82,0.7,3.19,4.72,1,1.62,1.67,0.95,1.13,1.06,1.74,2.12,2.54,3.01,1.77,3.78,0.23,1.25,1.43,2.49,,,,,,,,
July,,3.94,2.18,1.26,0.49,5.9,2.75,3.3,4.58,3.41,4.63,2,0.9,2.44,1.49,1.68,2.25,1.9,2.41,2.18,0.95,2.63,,,,,,,,
August,,2.55,1,1.98,2.15,1.33,0.95,3.46,4.6,0.37,4.52,1.97,2.44,1.64,2.73,6.54,0.5,5.37,1.52,3.6,5.38,2.23,,,,,,,,
September,,2.31,0.85,1.68,3.73,2.72,4,2.84,1.08,0.59,0.43,1.25,3,3.2,1.44,3.99,2.01,2,0.89,3.73,2.52,1.4,,,,,,,,
October,,4.93,4.71,1.95,3.52,1.87,2.3,2.22,3.53,3.31,2.45,2.38,1.77,3.57,3.75,0.8,0.5,2.13,4.44,0.59,0.77,4.02,,,,,,,,
November,3.2,1.99,1.19,2.29,5.23,2.99,1.58,3.06,4.62,6.3,3.08,1.25,1.99,3.68,0.42,5.44,2.27,2.04,3.18,3.46,6.45,2.13,,,,,,,,
December,0.91,0.99,0.46,4.45,3.55,1.98,2.82,3.51,1.71,1.96,1.57,2.96,1.07,1.46,2.32,2.76,2.2,3.6,1.71,0.93,2.46,3.42,,,,,,,,
Total,,30.61,24.39,21.97,30.77,31.82,31.92,25.77,33.84,29.66,31.81,25.1,24.06,25.61,25.68,34.19,,31.02,23.59,25.07,36.09,28.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is based on the relationship to the church in the earlier records, but has no obvious connection to the observer, Cannock Chase Colliery Co. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 1950s record has an NGR of SK035091, which is at a slightly higher altitude and is not close to a church",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved in March 1951 500 yards W presumbaly to  Colliery No. 2 (SK038082),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955 readings are for Chase Terrace, 1 mile NW, but the readings are crossed out and noted as being unreliable. Readings left out of this record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
