COWES-STEPHENSON-ROAD-(HYLTON),,,,,,,,,,,,,,,,,,,,
Grid ref,SZ495952,Long,-1.2985,Lat,50.7548,Elevation,82,ft,,,,,,,,,,,,
Station no,RR3111,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.4,1,1.08,0.95,3.64,1.21,4.28,,,,,,,
February,,,,,,,3.45,1.17,1.41,0.33,5.19,1.73,2.62,,,,,,,
March,,,,,,,1.43,0.35,3.28,4.41,1.05,1.88,4.25,,,,,,,
April,,,,,,,1.24,4.02,2.32,1.24,1.7,1.43,,,,,,,,
May,,,,,,,1.66,1.79,1.85,1.19,1.55,1.77,,,,,,,,
June,,,,,,,1.54,2.5,0.48,3.2,2.48,1.9,,,,,,,,
July,,,,,,,0.65,1.62,2.23,2.25,2.42,0.25,,,,,,,,
August,,,,,,,0.78,1.86,4.97,2.59,1.77,0.47,,,,,,,,
September,,,,,,,1.13,0.77,2.05,4,0.22,1.24,,,,,,,,
October,,,,,,,5.86,7.83,1.94,9.3,6.04,5.36,,,,,,,,
November,,,,,,,4.47,2.65,1.65,0.9,4.32,6.03,,,,,,,,
December,,,,,,,2.07,3.9,4.64,4.98,4.67,8.34,,,,,,,,
Total,,,,,,,30.68,29.46,27.9,35.34,35.05,31.61,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Hylton, 1st house on south side from Newport Rd",,,,,,,,,,,,,,,,,,,,
"COWES STEPHENSON RD, HYLTON, TYRain_1900-1909_05_pt1-page-16 has the data for 1906-1909",,,,,,,,,,,,,,,,,,,,
"COWES, STEPHENSON ROAD, TYRain_1900-1909_05_pt1-page-16 has the data for 1901-1909",,,,,,,,,,,,,,,,,,,,
1906-1909 values are the same on both sheets,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This was a home made gauge – the observer was a 'technical maker for glass',,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1906 Jan Gauge assumed moved 1/4m SW,,,,,,,,,,,,,,,,,,,,
1912 April Gauge moved 1/4m NW to Upper Moor Green Rd,,,,,,,,,,,,,,,,,,,,
