BERMONDSEY-SOUTHWARK-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ353791,Long,-0.052383,Lat,51.49466,Elevation,9,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.7,2.36,1.37,3.38,0.78,2.66,1.35,1.76,1.03,1.32,0.88,4.08,3.35,2.4,3.96,1.91,2.53,2.16,4.72,1.47,1.63,1.39,1.59,2.86,0.77,0.98,2.68,1.78,0.9,1.2,2.43,3.11,1.49,1.9,2,1.42
February,,2.91,3.02,3.32,1.6,0.52,0.74,1.79,0.33,1.51,0.15,2.43,1.54,4.17,0.8,0.95,1.49,1.54,0.91,1.53,0.66,1.29,2.18,1.57,1.36,0.92,3.28,5.79,0.82,1.31,2.25,1.43,0.23,2.91,2.23,0,1.57
March,,0.62,0.16,2.49,1.36,0.1,1.53,0.3,1.29,2.34,2.11,0.66,1.18,3.21,0.39,1.4,3.3,2.59,2.85,0.31,0.07,0.99,1.05,4.55,0.69,0.8,0.6,2.72,2.44,0.53,2.33,1.02,1.06,0.9,1.28,1.54,1.61
April,,2,3.82,1.9,1.34,1.35,1.51,3.17,2.55,0.62,2.26,3.1,1.39,2.52,0.16,2.37,1.91,1.73,1.12,1.06,1.28,0.87,1.33,1.66,1.24,1.58,2.63,2.66,1.12,2.14,0.35,0.33,1.05,0.23,1.63,1.99,0.29
May,,1.44,1.71,1.76,2.34,1.43,3.31,2.74,3.99,1.64,0.55,1.64,0.52,2.83,1.42,1.49,1.15,,2.56,2.1,1.01,2.16,3.14,0.84,1.89,1.81,1.68,1.88,1.06,1.6,2.02,4.43,0.49,1.18,2.38,0.96,1.8
June,,0.11,3.03,2.08,3.22,1.37,2.94,1.21,0.32,1.66,2.17,3.26,3.53,1.96,0.51,1.04,0.98,2.27,0.35,1.45,1.82,1.72,2.04,2.99,2.28,0.56,1.05,1.06,1.74,1.73,3.23,2.21,2.9,0.99,5.67,0.87,0.99
July,,3.62,1.89,3,2.11,2.04,1.67,2.41,3.12,1.36,1.06,0.64,3.7,1.67,1.48,2.64,2.67,3.58,1.66,1.92,1.42,2.6,2,0.94,1,1.4,3.83,1.59,0.48,3.78,3.01,0.91,3.04,4.92,2.27,1.56,3.2
August,,2.86,2.6,5.03,2.65,1.78,2.85,3.55,1.99,0.4,1.62,1.85,0.9,0.76,2.14,2.72,0.21,4.91,1.99,1.33,2.55,,4.21,0.14,2.97,1.37,1.21,2.87,2.46,1.74,4.15,0.81,3.35,1.96,3.82,4.19,
September,2.95,1.67,1.24,4.65,0.89,0.12,5.34,1.75,2.08,2.69,1.5,2.59,3.08,1.65,3.58,1.33,1.1,0.65,1.5,1.87,2.91,1.31,2.86,1.2,0.55,0.61,1.98,2.75,2.36,1.6,2.07,2.27,2.54,2.52,4.35,0.11,
October,3.25,2.57,2.42,1.27,3.61,2.3,1.07,0.8,5.36,1.59,1.26,2.86,2.15,2.64,2.66,4.59,2.12,0.8,4.55,2.19,2.74,1.72,1,0.09,2.26,5.56,0.47,0.74,2.52,3.34,1.7,2.5,1.32,1.87,2.79,1.96,
November,2.73,1.6,4.98,2.52,1.92,4.85,4.12,2.33,1.24,0.99,1.9,3.72,2.83,1.58,3.42,4.17,5.98,2.65,2,1.24,3.45,0.16,3.06,1.01,1.67,2.2,4.56,4.51,3.08,0.89,3.62,0.45,0.44,2.16,1.75,2.77,3.54
December,3.28,3.7,0.36,3.44,2.56,4.23,1.8,0.65,0.51,0.54,5.32,2.46,2.27,3.54,2.43,1.07,0.85,1.8,2.66,1.34,1.07,2.81,2.02,2.18,2.5,1.4,1.51,1.84,2.3,0.62,1.35,1.71,2.38,1.87,3.29,3.23,2.49
Total,,24.8,27.59,32.83,26.98,20.87,29.54,22.05,24.54,16.37,21.22,26.09,27.17,29.88,21.39,27.73,23.67,,24.31,21.06,20.45,,26.28,18.76,21.27,18.98,23.78,31.09,22.16,20.18,27.28,20.5,21.91,23,33.36,21.18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 1938 reading estimated for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
