"BERMONDSEY",,,,,,,,,,,,
Grid ref,TQ353791,Long,-0.052383,Lat,51.494660,,,,,,,
Station no,1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,1.78,0.90,1.20,2.43,3.11,1.49,1.90,2.00,1.42,,
February,5.79,0.82,1.31,2.25,1.43,0.23,2.91,2.23,0.00,1.57,,
March,2.72,2.44,0.53,2.33,1.02,1.06,0.90,1.28,1.54,1.61,,
April,2.66,1.12,2.14,0.35,0.33,1.05,0.23,1.63,1.99,0.29,,
May,1.88,1.06,1.60,2.02,4.43,0.49,1.18,2.38,0.96,1.80,,
June,1.06,1.74,1.73,3.23,2.21,2.90,0.99,5.67,0.87,0.99,,
July,1.59,0.48,3.78,3.01,0.91,3.04,4.92,2.27,1.56,3.20,,
August,2.87,2.46,1.74,4.15,0.81,3.35,1.96,3.82,4.19,2.83,,
September,2.75,2.36,1.60,2.07,2.27,2.54,2.52,4.35,0.11,4.75,,
October,0.74,2.52,3.34,1.70,2.50,1.32,1.87,2.79,1.96,5.30,,
November,4.51,3.08,0.89,3.62,0.45,0.44,2.16,1.75,2.77,3.54,,
December,1.84,2.30,0.62,1.35,1.71,2.38,1.87,3.29,3.23,2.49,,
Total,31.09,22.16,20.18,27.28,20.50,21.91,23.00,33.36,21.18,29.79,,
Calc annual,31.09,22.16,20.18,27.28,20.50,21.91,23.00,33.36,21.18,29.79,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
