DONAGHADEE (ORLOCK RESERVOIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ562828,Long,-5.5791262,Lat,54.669392,Elevation,23,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6203/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.38,0.82,5.22,4.63,3.46,3.64,4.68,2.26,5.89,5.09,2.63,2.93,4.13,3.14,5.9,2.26,1.12,4.71,3.25,1.01,2.82,3.18,3.14,3.6,3.6,1.93,3.15
February,,,,0.16,2.76,2.18,4.56,1.19,2.09,1.92,2.82,1.79,0.86,0.64,3.02,2.17,1.22,1.52,1.22,2.43,2.32,0.47,0.86,2.94,2.52,0.7,1.74,2.8,0.8,2.26
March,,,,1.46,0.96,2.11,2.91,0.82,2.55,3.83,3.23,3.2,0.48,0.32,1.19,1.45,5.07,1.61,1.77,1.4,3,1.07,0.15,3.56,1.43,1.13,2.75,1.54,2.36,1.76
April,,,1.34,2.89,2.02,0.78,2.49,0.16,1.74,2.89,1.43,1.92,1.88,2.12,1.47,0.5,2.72,1.38,1.59,2.46,1.42,1.67,1.18,0.6,1.47,0.64,0.99,1.05,1.85,2.27
May,,,2.14,2.55,0.65,1.93,0.84,2.08,1.02,1.58,1.82,2.91,3.15,1.45,3.1,0.99,4.09,1.83,2.05,1.08,2.83,1.04,1.56,2.44,2.16,0.93,1.76,2.48,1.12,1.72
June,,,1.73,1.21,2.79,3.25,1.74,3.44,1.83,0.89,0.26,0.27,2.84,2.18,3.63,2.05,2.91,3.44,0.62,1.58,1.11,1.96,1.32,2.26,4.13,2.28,0.81,3.88,2.6,2.06
July,,,2.11,1.69,,6.45,2.56,3.43,4.39,4.41,3.77,2.47,1.27,3.28,3.36,2.32,3.93,2.33,2,3.2,2.61,1.67,4.65,2.87,1.13,3.35,3.83,4.46,2.21,5.48
August,,,2.5,4.59,,2.85,2.53,1.69,1.96,0.59,3.5,3.87,5.44,3.11,0.63,4.91,0.13,3.88,3.37,5.49,3.91,5.09,2.58,2.78,1.84,5.35,3.16,3.94,1.35,4.86
September,,,0.83,4.85,,3.54,1.92,2.73,2.31,1.49,1.86,3.67,2.12,5.73,2.68,5.29,2.14,3.2,1.86,5,2.06,1.46,2.42,3.02,2.53,3.31,3.6,4.03,1.65,3.15
October,,,1.92,4.25,3.99,1.94,3.57,4.89,2.72,5.34,3.7,3.94,2.73,3.06,2.6,1.14,1.39,2.62,6.43,3.51,0.17,3.16,1.88,5.25,2.46,2.21,3.34,2.09,3.34,5.57
November,,,2.64,1.08,3.77,3.09,1.56,3.19,4.78,4.8,3.1,0.53,1.56,4.14,1.33,4.21,3.7,2.19,3.4,2.44,5.02,2.91,3.39,4.86,2.31,1.06,1.28,1.49,2.93,4.79
December,,,2.36,7.18,2.7,3.03,4.63,3.07,2.67,3.99,1.46,4.31,2.02,3.81,3.39,2.53,1.79,3.88,3.12,2.9,3.79,3.42,2.78,3.46,4.28,2.88,4.06,6.15,4.32,2.29
Total,,,,34.29,,36.37,33.94,30.15,31.7,36.41,29.21,34.77,29.44,32.47,29.33,31.69,32.23,33.78,29.69,32.61,32.95,27.17,23.78,36.86,29.44,26.98,30.92,37.51,26.46,39.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1935 July 1, Aug 1.75, Sept 4.10 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16421,ORLOCK RESR ,01/01/1933,31/10/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
