"DONAGHADEE (ORLOCK RESERVOIR)",,,,,,,,,,,,
Grid ref,IJ561827,Long,-5.580913,Lat,54.668366,,,,,,,
Station no,6203/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.71,3.25,1.01,2.82,3.18,3.14,3.60,3.60,1.93,3.15,,
February,2.32,0.47,0.86,2.94,2.52,0.70,1.74,2.80,0.80,2.26,,
March,3.00,1.07,0.15,3.56,1.43,1.13,2.75,1.54,2.36,1.76,,
April,1.42,1.67,1.18,0.60,1.47,0.64,0.99,1.05,1.85,2.27,,
May,2.83,1.04,1.56,2.44,2.16,0.93,1.76,2.48,1.12,1.72,,
June,1.11,1.96,1.32,2.26,4.13,2.28,0.81,3.88,2.60,2.06,,
July,2.61,1.67,4.65,2.87,1.13,3.35,3.83,4.46,2.21,5.48,,
August,3.91,5.09,2.58,2.78,1.84,5.35,3.16,3.94,1.35,4.86,,
September,2.06,1.46,2.42,3.02,2.53,3.31,3.60,4.03,1.65,3.15,,
October,0.17,3.16,1.88,5.25,2.46,2.21,3.34,2.09,3.34,5.57,,
November,5.02,2.91,3.39,4.86,2.31,1.06,1.28,1.49,2.93,4.79,,
December,3.79,3.42,2.78,3.46,4.28,2.88,4.06,6.15,4.32,2.29,,
Total,32.95,27.17,23.78,36.86,29.44,26.98,30.92,37.51,26.46,39.36,,
Calc annual,32.95,27.17,23.78,36.86,29.44,26.98,30.92,37.51,26.46,39.36,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
