KETTERING-CRANSLEY-FURNACES,,,,,,,,,,,,,,,,,,,,
Grid ref,SP849775,Long,-0.75389776,Lat,52.388954,Elevation,218,ft,,,,,,,,,,,,
Station no,1123/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.96,3.77,3.28,2.62,5.44,2.95,2.96,2.44,3.49,,,,,,,
February,,,,,2.52,2.05,3.15,0.64,0.87,2.08,1.45,0.82,0.77,,,,,,,
March,,,,,0.55,1.41,2.98,0.2,1.75,1.86,3.07,1.24,0.73,,,,,,,
April,,,,,3.63,1.9,2.91,0.04,1.97,2.02,0.93,0.83,,,,,,,,
May,,,,,1.06,1,4.36,1.48,0.81,1.58,2.18,3.24,2.21,,,,,,,
June,,,,,2.99,3.95,2.09,1.35,1.44,0.58,1.26,0.39,1.51,,,,,,,
July,,,,,0.98,6.7,1.9,1.59,2.41,3.64,2.45,1.8,0.88,,,,,,,
August,,,,,1.51,0.63,1.54,4.09,3.76,0.14,3.08,2.55,,,,,,,,
September,,,,,2.92,1.86,1.37,1.86,0.71,0.54,0.53,0.91,1.68,,,,,,,
October,,,,,3.1,1.83,2.89,2.66,4.3,2.66,1.65,2.25,1.71,,,,,,,
November,,,,,3.93,2.34,1.65,2.71,3.19,5.83,2.75,2.36,1.49,,,,,,,
December,,,,,3.08,1.79,2.03,3.92,1.43,1.79,0.74,1.46,0.95,,,,,,,
Total,,,,,27.23,29.23,30.15,23.16,28.08,25.67,23.05,20.29,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1938 Jul IDR,,,,,,,,,,,,,,,,,,,,
1943 Apr Aug estimated,,,,,,,,,,,,,,,,,,,,
