KENTMERE LONGHOUSES,,,,,,,,,,
Grid ref,NY458030,Long,-2.8367689,Lat,54.419536,Elevation,520,ft,,
Station no,RR8854,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,12.39,3.81,9.74,10.09
February,,,,,,,8.19,1.89,9.95,3.66
March,,,,,,,3.31,3.88,3.43,7.42
April,,,,,,,4.55,3.8,1.47,3.23
May,,,,,,,5.1,3.53,2.53,1.82
June,,,,,,,3.8,3.7,3.1,3.26
July,,,,,,,4.4,2.5,6.81,2.89
August,,,,,,,4.31,13.73,5.73,4.51
September,,,,,,,2.85,7.65,17.63,7.15
October,,,,,,,13.73,10.75,10.6,2.98
November,,,,,,,11.75,11.18,5.13,4.89
December,,,,,,,6.53,4.16,14.6,12.99
Total,,,,,,,80.91,70.58,90.72,64.89
