COSTOCK-SCHOOL,,,,,,,,,,,
Grid ref,SK572263,Long,-1.1524394,Lat,52.831195,Elevation,167,ft,,,
Station no,RR8133,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.83,0.65,2.07,1.76,2.69,1.69,,1.39,
February,,,1.5,2.85,0.64,3.29,2.79,1.73,,0.56,
March,,,1.7,1.73,0.71,0.97,0.87,1.93,,0.19,
April,,,3.12,2.02,1.35,1.74,1.76,2.07,,1.55,
May,,,1.45,2.29,3.67,3.23,,1.81,,2.02,
June,,,0.99,0.54,2.18,0.08,,4.13,,1.2,
July,,,4.42,3.87,2.03,2.1,1.6,3.15,,2.04,
August,,,5.38,1.95,2.37,1.87,2.07,2.66,,2.18,
September,,,2.01,2.83,2.83,2.78,0.9,3.64,0.6,0.59,
October,,,0.83,2.04,4.14,2.77,2.65,1.93,3.4,3.14,
November,,,0.76,1.42,1.96,2.05,,2.13,3.84,3.58,
December,,,3.41,2.49,3.8,1.66,0.67,2.48,1.52,3.97,
Total,,17.84,28.4,24.68,27.75,24.3,,29.35,,22.41,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1926 May Jun Nov estimated,,,,,,,,,,,
