"UPPER USK 6",,,,,,,,,,,,
Grid ref,SN815246,Long,-3.723996,Lat,51.907293,,,,,,,
Station no,4111/3/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.00,10.00,2.75,6.50,6.57,6.80,10.00,7.45,8.55,8.20,,
February,9.00,3.00,4.00,8.00,3.28,1.06,8.05,12.05,0.80,9.90,,
March,7.50,6.30,7.00,7.25,5.62,4.60,6.60,1.75,5.55,2.65,,
April,6.00,6.00,6.25,1.75,4.66,1.28,0.75,1.95,7.30,5.40,,
May,5.00,5.50,5.25,6.25,6.55,2.00,3.00,5.45,1.40,2.15,,
June,2.00,5.00,4.00,7.82,7.87,4.70,1.80,4.50,4.70,2.15,,
July,2.75,4.00,7.50,6.75,3.14,4.45,7.00,5.40,5.50,6.70,,
August,11.50,7.50,7.00,6.88,1.34,7.75,5.70,5.25,1.20,6.75,,
September,7.75,5.50,8.50,8.50,3.03,6.50,11.15,10.50,0.95,5.45,,
October,2.00,8.00,7.50,14.24,5.08,3.40,6.85,6.50,9.75,8.60,,
November,16.50,4.00,9.25,15.77,6.00,2.80,4.35,3.40,15.10,17.60,,
December,11.00,7.50,3.00,7.16,10.25,5.90,7.25,7.35,14.00,9.50,,
Total,91.00,72.30,72.00,96.87,63.39,51.24,72.50,71.55,74.80,85.05,,
Calc annual,91.00,72.30,72.00,96.87,63.39,51.24,72.50,71.55,74.80,85.05,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
