UPPER-USK-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN815246,Long,-3.7239956,Lat,51.907293,Elevation,1390,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4111/3/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,10,3,10.75,18,12.7,8.5,2.65,6.2,7.2,7,8,7.5,14.5,8.5,17.5,3.5,3,10,10,2.75,6.5,6.57,6.8,10,7.45,8.55,8.2
February,,,,0.75,10.25,4,12,3.8,8.2,5,8.2,0.7,5.25,2.2,9,6.5,3,5.5,3.25,11.5,9,3,4,8,3.28,1.06,8.05,12.05,0.8,9.9
March,,,,5.75,2,5,5.9,1.4,4.6,7,5.2,5.4,2.25,1.5,5,3,16,5,3.2,4.75,7.5,6.3,7,7.25,5.62,4.6,6.6,1.75,5.55,2.65
April,,,,5.75,9.5,3.4,4,0.34,5,3.3,1.7,4.5,3,3.5,4,2.5,8,4,7.75,7,6,6,6.25,1.75,4.66,1.28,0.75,1.95,7.3,5.4
May,,,,4.5,3.9,2.1,1.7,8.1,1.3,2.4,4,13.5,6.15,3,7,4.5,4,5,6.75,3.25,5,5.5,5.25,6.25,6.55,2,3,5.45,1.4,2.15
June,,,,2.25,7.9,4.8,2.7,3.2,5.4,1.4,1.8,0.2,5.5,5,7.5,6.5,4,7,1.25,4.25,2,5,4,7.82,7.87,4.7,1.8,4.5,4.7,2.15
July,,,,1.8,1.6,11.25,2.9,3.1,14.6,6.5,4.1,7.8,7,3,5,4.5,4,3.75,2.25,8,2.75,4,7.5,6.75,3.14,4.45,7,5.4,5.5,6.7
August,,,,6.2,3.4,1.7,1.4,4.8,4,1.1,8.1,6.8,7,4,9,10,1,9,5,12,11.5,7.5,7,6.88,1.34,7.75,5.7,5.25,1.2,6.75
September,,,,8.25,12,4.7,3.4,3.1,1.6,3.5,0.8,5,7,7.5,7,11,5,8.25,3.75,13.5,7.75,5.5,8.5,8.5,3.03,6.5,11.15,10.5,0.95,5.45
October,,,,10,10.5,4.5,4.8,9.6,3.2,9.3,7.8,7.5,8,11,8,3,2.25,7.25,12.75,5.25,2,8,7.5,14.24,5.08,3.4,6.85,6.5,9.75,8.6
November,,,,3,11.5,8.4,2.2,13.5,16.75,16.5,6.5,2.5,5,15,1.5,19,6.75,4.5,9,9.5,16.5,4,9.25,15.77,6,2.8,4.35,3.4,15.1,17.6
December,,,,20.5,6.25,15.5,2.8,8.2,5.7,5.8,6.6,15,3.5,6.5,11,9.75,7,19,9.25,6,11,7.5,3,7.16,10.25,5.9,7.25,7.35,14,9.5
Total,,,,78.75,81.8,76.1,61.8,71.84,78.85,64.45,61,76.1,66.65,70.2,81.5,94.75,69.5,95.75,67.7,88,91,72.3,72,96.87,63.39,51.24,72.5,71.55,74.8,85.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is adjacent to site of the reservoir. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan to Mar 1947 readings have a comment ""…open to doubt… snow.."". Readings left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 6 gauges in the Upper Usk region and there is sigificant duplication of readings bewtween gauges 2, 3 and 4. This gauge has some duplications with the other gauges but this is probably coincidental.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
