"ESKDALEMUIR (JOCK'S SHOULDER)",,,,,,,,,,,,
Grid ref,NT177021,Long,-3.298005,Lat,55.306085,,,,,,,
Station no,5040/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.50,7.00,3.85,6.93,6.11,4.75,11.03,7.28,5.50,7.73,,
February,5.60,1.80,2.99,4.86,2.56,2.00,5.12,5.88,3.18,9.30,,
March,5.30,5.61,0.90,4.83,3.16,2.98,6.66,3.24,5.29,2.55,,
April,6.95,4.42,4.62,1.75,3.60,1.59,4.39,2.92,5.37,7.36,,
May,2.07,3.00,3.93,6.97,3.74,4.51,2.50,4.43,3.30,4.04,,
June,3.52,6.40,2.30,8.60,3.36,3.50,2.68,3.91,4.40,4.48,,
July,6.45,4.24,14.55,6.74,2.76,8.21,5.80,8.69,6.71,6.59,,
August,10.14,6.09,6.05,6.96,3.28,8.86,7.05,6.40,1.65,6.26,,
September,7.36,2.72,7.13,9.52,8.55,6.22,5.80,8.05,2.47,4.64,,
October,0.90,5.77,4.70,14.91,3.73,5.42,8.53,5.65,6.05,3.58,,
November,11.59,4.81,9.06,10.39,4.10,2.71,2.97,2.59,12.70,10.01,,
December,10.00,6.47,5.40,8.66,9.10,7.00,6.40,6.09,10.71,6.75,,
Total,77.38,58.33,65.48,91.12,54.05,57.75,68.93,65.13,67.33,73.29,,
Calc annual,77.38,58.33,65.48,91.12,54.05,57.75,68.93,65.13,67.33,73.29,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
