LOCH TURRET (LOWER SHAGGIE),,,,,,,,,,,,
Grid ref,NN875281,Long,-3.825864,Lat,56.431640,,,,,,,
Station no,5545/5/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.50,3.40,1.80,8.00,4.10,4.50,8.80,4.60,3.20,5.90,,
February,6.30,1.70,2.20,8.25,3.10,2.20,7.90,3.30,2.50,6.65,,
March,4.10,4.40,1.55,7.25,3.90,4.00,6.60,3.95,4.40,4.05,,
April,4.50,2.50,3.50,2.00,2.90,1.90,2.60,2.35,5.25,5.75,,
May,1.70,2.55,2.45,7.00,3.15,3.55,3.50,4.80,1.55,4.50,,
June,9.95,3.00,3.15,4.50,2.70,3.90,2.70,5.10,3.10,3.20,,
July,4.45,2.80,5.80,4.75,1.50,6.30,6.25,5.85,6.55,5.75,,
August,7.10,6.10,3.00,5.25,1.55,7.35,6.80,5.85,2.55,6.85,,
September,4.60,2.60,6.85,7.00,3.75,7.95,3.80,7.25,1.25,5.50,,
October,1.90,4.90,2.95,9.25,4.90,4.30,3.80,4.75,5.95,7.95,,
November,,2.60,,9.00,3.20,1.75,3.80,2.15,10.10,,,
December,,3.70,,10.00,11.30,9.95,8.50,7.70,9.90,,,
Total,,40.25,,82.25,46.05,57.65,65.05,57.65,56.30,,,
Calc annual,51.10,40.25,33.25,82.25,46.05,57.65,65.05,57.65,56.30,56.10,,
Difference,NaN,-0.00,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,,
