BRIXHAM-LUPTON-(GARDEN),,,,,,,,,,,,,,,,,,,,
Grid ref,SX901555,Long,-3.5472,Lat,50.3898,Elevation,200,ft,,,,,,,,,,,,
Station no,RR2146,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,6.42,8.82,6.45,5.73,7.82,2.34,3.62,11.21,8.95,,,,,,
February,,,,,,4.64,5.78,2.86,3.06,5.06,3.84,3.72,5.2,4.84,,,,,,
March,,,,,,1.83,2.82,7.98,2.23,2.02,4.4,2.39,4.63,4.87,,,,,,
April,,,,,,0.7,2.8,2.79,3.69,1.18,0.15,6.05,1.94,0.44,,,,,,
May,,,,,,6.72,2.34,5.56,2.35,6.55,1.93,0.34,2.33,0.77,,,,,,
June,,,,,,1.85,1.19,0.58,0.39,0.34,0.11,2.44,3.61,1.62,,,,,,
July,,,,,,2.33,1.24,3.91,0.16,0.48,1.18,4.8,3.42,,,,,,,
August,,,,,,5.51,2.57,1.11,4.68,0.55,1.4,1.52,1.33,,,,,,,
September,,,,,,0.1,10.23,2.98,6.14,5.04,1.41,8.33,3.37,,,,,,,
October,,,,,,9.55,3.09,3.13,4.27,2.19,5.54,5.12,6.46,,,,,,,
November,,,,,,6.7,2.66,1.98,4.57,2.14,3.14,1.76,7.37,,,,,,,
December,,,,,,5.07,5.73,1.83,10.44,6.63,4.59,4.54,7.36,,,,,,,
Total,,,,,,51.42,49.27,41.16,47.71,40,30.03,44.63,58.23,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Original obs was head gardener living in Lupton Garden Cottage in the centre of the walled kitchen garden 530m N of Lupton House,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1873 July Gauge found to leak - repaired and subsequently moved,,,,,,,,,,,,,,,,,,,,
"Note says moved from the gardens to Lupton [?Village] - but there was no village, so taken it moved back to Lupton House",,,,,,,,,,,,,,,,,,,,
