MORPETH COCKLE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ201912,Long,-1.685646,Lat,55.214635,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.77,2.52,3.62,1.83,0.84,3.56,2.1,0.52,2.21,0.71,1.65,1.32,3.62,2.32,3.22,4.51,2.25,2.42,1.28,3.15,3.8,3.33,2.57,4.47,3.31,1.38,2.53,1.41,2.9,1.58,3.48,2.07,3.14,2.28,1.03,1.88,1.71,2.09,3.91,3.93,2.35,5.52,2.64,3.44,2.92,3.02,0.85,5.16,1.44,1.92,9.09,0.93,1.62,2.15,2.64,0.73,2.78,3.14,3.99,2.56,2.3,2.49,4.64
February,,,,,,,,,1.29,1.3,5.72,1.84,1.64,1.45,2.09,0.76,1.02,1.47,1.56,2.11,2.45,0.8,2.63,0.82,1.54,2.74,2.45,0.99,1.41,2.2,1.25,0.25,2.45,3.97,1.26,3.18,3.28,0.82,0.96,1.06,1.41,1.08,0.56,3.27,0.3,1.58,3.01,3.19,0.98,0.94,1.97,6.43,2.49,0.86,1.86,1.54,0.38,3.16,1.5,0.68,3.64,2.36,0.69,1.42,2.14,2.73,2.47,2.86,2.91,0.34,3.13
March,,,,,,,,,1.73,3.45,2.27,2.39,1.15,1.56,1.87,1.72,1.28,1.18,3.48,4.48,0.76,2.33,1.89,3.06,2.77,2.48,3.63,2.25,1.19,2.25,2.74,0.82,2.12,1.45,0.95,1.56,0.66,2.08,2.65,0.3,2.26,0.95,2.79,1.32,3.38,1.09,2.51,4.31,0.42,2.93,2.74,3.2,0.61,0.73,0.66,0.36,1.46,4.88,0.45,0.99,0.99,4.26,2.12,0.22,1.27,2.1,0.91,2.37,4.11,0.72,1.94
April,,,,,,,,,3.01,2.73,1.42,1.17,1.3,1.78,1.36,2.98,0.84,1.59,2.38,2.75,2.11,1.61,0.15,3.34,0.61,0.61,1.86,3.46,1.12,1.28,3.17,0.79,1.71,1.84,1.64,3.45,1.35,2.15,1.07,1.53,1.84,3.52,1.33,1.85,5.49,4.16,1.31,2.04,0.15,1.13,0.86,1.71,0.75,1.55,2.37,1.57,0.78,3.55,1.95,1.01,2.03,1.96,1.06,2.23,0.59,0.7,0.94,0.37,2.09,2.15,0.81
May,,,,,,,,,2.27,3.34,1.32,3.41,3.32,2,2.78,1.45,5.56,4.36,1.84,2.06,2.27,0.82,2.73,3.09,1.68,1.6,2.8,2.53,3.26,0.65,3.61,1.9,0.48,2,6.12,3.53,2.22,1.43,1.33,1.45,1.58,2.75,3.43,1.27,1.2,1.17,1.49,3.27,3.5,1.3,0.72,1.73,1.55,3.07,2.4,4.32,1.73,2.31,1.8,1.12,1.9,4.05,1.91,1.84,2.75,2.04,0.47,1.97,2.94,0.36,2.62
June,,,,,,,,,1.73,1.89,4.15,1.52,2.33,2.55,2.32,0.64,1.83,2.89,0.46,2.26,0.95,5.29,5.71,1.62,3.61,0.53,2.37,1.1,0.59,0.49,0.6,0.33,1.28,0.73,2.26,0.14,3.12,4.5,4.4,1.53,0.8,3.48,1.1,1.1,1.69,2.39,2.94,1.53,2.66,2.38,0.66,1.05,1.04,2.7,1.84,2.94,2.02,1.69,2.33,0.97,1.92,1.81,1.38,2.03,1.47,1.11,2.28,1.41,3.75,1.67,0.99
July,,,,,,,,,1.1,2.15,1.97,2.64,2.66,3.87,1.26,0.95,1.7,1.79,2.72,2.18,2.25,0.53,2.76,0.59,2.98,3.32,3.14,1.18,2.83,1.33,3.74,1.96,4.26,1.78,5.86,2.36,5.28,2.65,1.36,3,3.93,3.16,2.53,2,3.21,0.5,3.45,1.83,2.67,2.79,5.93,1.77,4.52,1.82,4.39,1.44,2.91,4.5,0.81,1.78,3.89,1.41,2.94,2.41,2.32,1.4,2.64,3.56,3.3,2.13,4.82
August,,,,,,,,,2.12,0.85,5.41,2.5,1.96,2.6,2.8,4.29,3.93,2.81,2.41,2.96,3.07,2.27,6.18,1.52,2.86,2.69,2.22,7.04,1.52,1.98,1.95,6.38,2.01,4,2.67,2.88,2.04,4.64,2.94,3.04,5.8,3.17,2.65,1.89,4.05,1.85,2,2.58,2.67,1.98,0.81,2.8,2.5,3.83,1.76,2.55,4.64,0.15,6.28,2.31,3.88,3.83,3.31,3.51,7.03,1.15,8.62,3.66,2.58,0.31,2.5
September,,,,,,,,,2.22,2,0.78,1.09,0.82,2.21,0.88,1.45,0.55,0.43,3.03,2.02,0.9,2.66,2.43,2.72,1.42,2.43,1.65,-999,5.39,1.3,1.74,1.55,4.19,1.96,2.78,3.46,3.02,3.63,0.95,0.94,3.3,1.9,3.09,1.34,1.81,4.04,3.72,1.87,1.97,1.25,1.57,0.57,2.22,3.19,5.75,1.83,3.46,1.43,2.68,0.93,3.71,0.83,3.75,1.61,3.15,0.94,2.64,3,2.82,0.78,2.37
October,,,,,,,,,5.46,2.36,6.05,2.07,2.31,8.9,0.48,3.24,5.69,5.57,1.95,2.94,3.02,3,4.39,1.88,2.56,1.88,3.24,-999,2.42,4.27,1.77,2.95,1.65,2.36,3.38,2.08,3.59,2.22,2.97,2.36,2.19,1.21,3.73,4.08,3.53,3.67,1.49,3.01,3.41,5.37,2.92,3.93,2.42,2.31,2.9,3.4,0.73,0.55,1.48,3.32,1.22,0.74,3.55,1.42,4.15,1.69,2.05,2.3,1.94,1.64,7.02
