"NEWCASTLETON FOREST",,,,,,,,,,,,
Grid ref,NY501875,Long,-2.785095,Lat,55.179263,,,,,,,
Station no,5059,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.17,3.19,3.73,5.22,3.84,4.17,9.19,5.33,2.93,8.82,,
February,4.47,1.37,3.05,3.22,1.98,1.29,4.20,3.71,2.22,5.86,,
March,2.56,6.01,1.74,3.73,2.27,2.17,4.13,1.15,2.89,,,
April,5.63,6.19,3.45,1.33,3.04,1.12,2.06,2.07,5.12,,,
May,1.17,2.07,1.94,3.87,3.19,3.82,1.92,4.58,0.98,,,
June,1.77,3.07,2.35,4.95,3.86,2.77,1.74,3.37,4.35,,,
July,1.07,2.07,8.72,6.01,2.04,6.08,5.28,3.29,4.58,,,
August,1.78,3.61,2.90,5.01,1.49,9.78,4.38,8.41,0.77,,,
September,5.60,2.47,5.65,7.04,2.42,2.96,4.39,5.81,1.51,,,
October,2.72,5.20,2.53,11.88,3.27,3.90,4.94,4.71,5.12,,,
November,8.31,4.44,8.80,8.09,1.58,2.00,1.45,1.48,7.76,,,
December,5.13,4.36,3.97,8.42,7.22,6.34,4.35,3.89,8.17,,,
Total,45.38,44.05,48.83,68.17,36.20,46.40,48.03,47.80,46.40,,,
Calc annual,45.38,44.05,48.83,68.77,36.20,46.40,48.03,47.80,46.40,14.68,,
Difference,0.00,0.00,0.00,-0.60,0.00,-0.00,0.00,0.00,-0.00,NaN,,
