HELMSLEY - BOYS' SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE609839,Long,-1.067,Lat,54.247,Elevation,225,ft,,,,,,,,,,,,,,,,,,
Station no,3459,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952
January,2.88,5.54,2.50,4.64,2.04,2.28,2.11,2.25,2.98,4.36,3.90,3.24,5.23,2.49,3.02,4.48,4.76,2.28,5.10,2.85,2.54,6.23,0.39,,2.22,2.64
February,1.88,1.75,1.32,1.35,2.44,0.76,5.33,1.38,3.62,2.86,4.65,1.40,2.29,1.88,3.65,1.74,0.66,2.17,2.87,1.63,2.27,1.44,0.79,,2.71,1.04
March,3.00,3.18,0.35,1.94,1.10,2.83,2.47,2.83,0.95,1.77,3.47,0.32,2.81,1.98,2.46,1.86,0.46,0.68,0.58,1.17,4.32,1.19,1.48,,3.61,2.58
April,2.25,1.73,1.22,3.22,3.15,1.74,3.02,2.89,3.52,1.50,2.63,0.25,1.19,1.76,1.46,1.93,1.33,2.62,2.60,2.04,3.09,1.34,2.07,,1.04,1.68
May,1.48,1.27,1.78,1.46,2.76,4.81,2.80,1.53,1.47,1.36,3.10,3.33,1.10,1.19,1.59,2.79,2.96,0.86,3.05,1.88,2.82,1.17,1.73,,3.33,1.44
June,3.56,4.50,2.20,2.40,4.37,0.82,2.02,1.65,3.41,3.01,1.54,2.19,2.03,0.56,0.48,0.69,1.57,3.02,3.00,2.58,3.17,4.89,0.66,,1.30,2.09
July,3.77,0.62,2.10,5.34,3.49,5.32,1.86,4.91,0.55,4.16,1.79,3.89,4.01,6.43,1.82,2.81,1.19,3.60,1.84,,2.53,1.48,2.18,,1.65,1.90
August,8.42,4.24,3.00,3.48,3.05,1.74,0.77,2.86,2.20,4.07,1.44,2.89,2.05,1.27,4.40,3.01,3.95,3.74,3.31,,0.25,2.78,3.11,,5.87,2.60
September,6.55,1.10,0.43,4.16,3.64,2.92,1.85,2.11,4.77,3.13,1.45,2.32,0.99,2.08,0.93,2.95,4.68,4.71,1.68,,2.30,1.48,0.69,,2.05,3.84
October,2.28,4.23,3.09,2.69,1.51,3.59,5.54,2.59,4.27,2.21,2.48,4.92,4.52,3.28,3.85,2.48,1.81,3.56,3.03,1.15,0.70,0.85,3.89,,1.84,3.08
November,2.85,3.16,4.17,4.54,4.50,2.45,3.45,2.19,5.31,3.60,2.46,3.86,3.13,3.87,3.66,0.94,3.69,4.40,0.86,5.57,2.53,0.67,2.87,,5.78,2.41
December,2.53,1.97,5.59,2.80,1.28,1.54,1.24,5.32,3.10,2.33,4.46,5.39,2.60,2.71,0.65,2.86,1.75,2.49,2.07,2.41,1.80,2.68,4.07,,3.55,2.52
Total,41.45,33.29,27.75,38.02,33.33,30.80,32.46,32.51,36.15,34.36,33.37,34.00,31.95,29.50,27.97,28.54,28.81,34.13,29.99,,28.32,26.20,23.93,,34.95,27.82
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/227,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/015,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/200,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/017,,,,,,,,,,,,,,,,,,,,,,,,,,
