FINEDON HALL,,,,,,,,,,,,
Grid ref,SP911719,Long,-0.664339,Lat,52.337628,,,,,,,
Station no,RR7040,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.10,0.84,3.68,1.12,1.07,1.00,,
February,,,,,3.04,0.72,1.59,1.22,1.14,0.51,,
March,,,,,1.36,2.28,1.43,0.94,3.01,2.45,,
April,,,,,1.17,1.73,0.67,1.96,2.93,1.23,,
May,,,,,2.02,0.94,1.46,4.57,1.46,1.33,,
June,,,,,0.37,2.83,4.88,1.65,1.26,3.20,,
July,,,,,1.97,0.62,0.48,2.39,3.09,2.89,,
August,,,,,2.64,2.27,1.37,2.09,3.25,1.91,,
September,,,,,2.13,1.76,1.01,1.19,1.50,2.47,,
October,,,,,0.78,1.21,4.17,3.67,1.41,3.17,,
November,,,,,0.87,2.53,4.07,2.34,1.09,0.76,,
December,,,,,1.80,0.89,1.94,3.42,1.64,4.04,,
Total,,,,,20.25,18.62,26.75,26.56,22.85,24.96,,
Calc annual,0.00,0.00,0.00,0.00,20.25,18.62,26.75,26.56,22.85,24.96,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
