SOUTH MOLTON CASTLE HILL SCHOOL,,,,,,,,,,,,
Grid ref,SS665280,Long,-3.905392,Lat,51.035808,,,,,,,
Station no,RR6108,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.77,4.37,2.97,4.98,5.24,2.21,7.49,2.47,3.01,3.03,,
February,5.06,1.79,1.41,2.61,5.73,2.48,4.77,1.99,3.03,0.62,,
March,1.20,2.01,4.13,5.37,2.16,5.39,3.27,1.53,3.75,5.40,,
April,2.47,3.92,1.28,3.05,2.32,2.78,1.84,5.05,2.80,4.60,,
May,1.99,1.17,3.94,2.60,3.10,0.15,3.81,3.42,1.65,1.95,,
June,3.30,3.27,4.09,1.32,1.34,2.46,1.97,4.24,0.90,1.99,,
July,1.88,1.14,2.63,3.41,5.29,2.42,1.75,2.13,3.30,3.51,,
August,4.39,3.28,3.39,4.61,3.53,5.87,4.29,3.89,4.56,2.39,,
September,1.79,3.38,2.83,5.13,3.03,2.14,1.28,0.84,3.11,3.12,,
October,6.30,3.97,3.25,11.11,3.13,3.90,5.91,5.74,2.52,7.26,,
November,5.94,2.02,4.41,3.92,4.47,5.16,4.85,3.27,2.71,2.37,,
December,7.09,6.91,3.49,5.34,3.62,2.03,4.70,5.59,4.54,5.25,,
Total,47.18,37.23,37.82,53.45,42.96,36.99,45.93,40.16,35.88,41.49,,
Calc annual,47.18,37.23,37.82,53.45,42.96,36.99,45.93,40.16,35.88,41.49,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
