HIGH WYCOMBE EASTON STREET (OLD GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU869929,Long,-0.745219,Lat,51.628656,Elevation,253,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR190/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,4.85,1.81,1.25,2.03,1.56,2.93,4.81,2.67,2.3,0.5,2.62,4.52,1.03,1.12,3.33,0.5,2.3,3.4,0.94,3.7,3.47,3.31,3.66,3.24,1.5,1.5,4.31,3.53,1.87,3.69,1.18,4.97,1.5,3.22,0.37,1.88,1.22,2.41,2.38,2.62,3.44,,0.96,1.27,2.56,1.66,0.79,2.12,2.88,2.33,0.98,2.36,0.77,2.73,3.71,0.74,0.86,2.6,3,0.73,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.61,1.05,3.43,2.01,1.56,0.75,1.25,0.76,0.75,0.98,1.1,0.31,1.62,1.87,1.25,1.75,0.25,0.7,1.12,2.3,3.8,1.78,1.58,2,2.22,1.1,1.69,1.87,1.59,1,2.41,1.75,1.69,3.56,3.62,2.74,1.5,3.62,1.16,2.42,0.63,0.75,1.34,2.51,0.81,0.02,1.16,3.57,1.75,0.14,0.49,2.64,1.37,2.21,5.09,1.22,1.32,0.96,2.84,0.54,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.92,0.68,3.22,1.12,0.04,3.75,0.37,1.7,0.45,2.63,0.75,1.43,1.21,1.56,2.27,2.53,4.5,0.78,2.5,1.25,1.38,2.09,1.82,1.39,1.71,1.13,2.2,2.34,0.66,0.77,2.63,2.21,0.56,0.82,1.1,2,1.38,0.63,1.38,1.19,1.43,1.93,2.94,1.75,2.01,1.56,0.75,0.23,1.57,1.87,3.21,3.38,0.98,0.52,0.64,1.75,1.66,3.27,1.22,3.77,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,3.46,1.4,2.72,2.12,2.04,1.25,0.65,2.2,0.38,0.2,2.62,1.72,1.87,3.1,1,0.78,2.68,0.7,1.1,0.44,1.5,2.69,1.72,1.86,0.29,2.94,1.5,0.37,1.75,1.07,2.75,1.94,2.38,3.03,1.88,0.41,3.42,0.94,1.38,1.56,1.5,1.16,1.85,2.32,1.35,0.87,0.71,0.03,1.25,1.25,0.63,1.65,1.55,2.37,1.1,2.38,0.88,1.93,1.47,1.68,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.52,2.43,0.03,3.43,2.61,0.93,1,1.85,3.2,1.87,3.38,0.56,1.78,1.94,3.31,0.87,4.1,1.25,1.87,1.51,1.37,1.93,0.69,3.16,0.93,0.28,2.26,1.56,1.43,1.62,0.8,2.5,2.94,2.79,0.25,0.98,1.63,2,0.56,2.48,3.5,1.38,1.26,2.82,0.89,2.19,0.98,0.88,2.15,0.72,0.2,1.29,2.16,1.73,1.02,0.92,1.97,4.34,2.56,1.29,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,0.41,2.03,3.43,0.81,2.55,1.31,4.81,3.07,1.3,1.12,1,1.18,0.41,1.7,5.5,2.25,1.94,4,0.9,2.03,3.02,1.16,0.55,1.57,0.43,2.5,2.72,1.8,1.28,3.07,1.88,0.88,1.5,4.19,3.32,2.19,3.12,1.53,2.16,1.44,0.91,1.03,2.28,0.45,2.57,1.09,1.75,0.49,2.11,0.4,2,2.88,1.4,1.97,1.74,1.01,3.36,5.1,0.7,3.22,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.77,1.87,2.68,2.03,3.43,3.31,1.25,3.45,2.65,4.45,1,2,1.12,1.69,1.84,3.87,1.88,0.75,0.5,2.06,2.84,4.22,1.5,1.52,0.86,2.72,2.12,1.87,1.73,5.41,0.88,2.47,1.28,4.25,4.63,1.92,2.03,1.75,2.44,0.38,1.82,0.66,4.25,1.83,2.43,2.68,2.33,2.35,2.22,4.15,0.79,0.5,0.58,0.53,1.52,1.79,0.76,3.84,2.65,0.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.31,1,3.05,0.37,1.25,1.81,3.95,2.67,1.1,1.32,2.12,1.75,1.11,2.06,4.75,0.62,2.18,2.6,0.4,1.69,2.45,1.77,3.55,1.63,1.87,0.81,1.46,2.19,1.57,0.82,1.82,1.33,4.77,6.05,0.75,5.65,1.51,0.75,1.12,0.63,0.66,1.57,1.75,2.14,1.53,4.85,3.18,1.82,2.45,3.4,1.99,2.83,1.24,0.91,3.43,1.76,3.75,3.52,1.88,2.27,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1,2.25,3.31,3.37,2.02,0.08,3.25,1.4,0.48,1.25,2.06,4.23,1.5,3.81,3,1.94,1.95,3.22,1.94,0.13,5.15,1.78,3.21,3.94,2.17,5.1,0.81,2.85,3.48,1.75,4.57,0.77,1,2.77,4,2,2.38,4.5,1.59,4.31,1.56,2.83,0.89,1.28,0.95,1.02,2.53,0.91,3.82,0.94,6.51,2.36,0.69,1.86,0.62,1.3,0.6,2.05,1.57,1.36,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,5.87,2.75,3.5,1.87,1.68,1.08,4.1,3.8,1.95,4.85,1.37,5.04,1.58,3.1,1.7,1,3.37,2.81,1.32,5.37,1.42,2.12,2.87,1.34,3.03,1.03,3.62,2.68,3.25,4.81,1.14,1.94,2.57,0.52,5.02,2.38,5.81,1.63,1,4.13,4.12,1.5,1.12,3.74,1.28,8.33,3.43,2.72,3.33,2.98,2.79,0.95,3.19,2.12,2.19,2.11,1.74,7.98,1.18,1.51,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
