HIGH WYCOMBE EASTON STREET (NEW GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU869929,Long,-0.745219,Lat,51.628656,Elevation,253,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,0.95,2,0.85,2.42,1.37,4.36,3.55,0.6,3.66,1.55,2.04,2.78,4.44,2.88,2.8,3.11,1.68,3.04,2.36,3.71,2.5,5.29,1.39,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.61,1.31,0.43,3.7,2.03,2.3,0.9,2.99,4.04,4.27,1.1,1.36,2.92,0.58,0.27,2.82,4.12,0.68,3.64,2.71,4.26,2.35,1.19,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.42,3.78,2.93,0.98,1.95,4.25,2.47,4.71,1.36,4.27,1.88,0.99,5.42,2.09,1.05,2.42,2.89,1.86,0.73,0.34,2.92,2.21,0.06,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.2,4.36,2.3,1.88,1.54,0.09,3.21,0.92,1.3,1.19,2.2,4.46,3.14,4.26,1.27,3.06,2.7,3.39,1.9,3.01,1.66,1.5,1.25,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.85,2.21,1.71,2.11,2.36,1.76,2.01,1.49,2.58,1.7,2.31,2.78,0.4,2.31,1.19,1.17,2.43,3.86,3.08,2.69,1.41,1.51,2.81,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,3.45,2.13,0.9,4.21,3.09,2.13,2.93,0.68,1.58,0.76,2.81,2.91,1.04,1.12,2.42,0.28,1.33,0.5,3.03,0,2.84,3.8,3.08,1.3,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.19,3.35,3.25,2.69,1.89,0.27,2.74,0.75,1.82,5.22,1.5,4.36,4.25,2.07,5.32,0.21,4.55,2.26,5.41,5.27,2.45,3.71,2.69,1.69,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.26,2.35,3.13,2.93,3.79,0.59,5.23,1.3,1.35,2.8,4.43,5.15,1.83,3.21,1.38,1.9,3.49,2.75,2.81,4.03,1.17,5.15,2.65,1.04,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.04,0.54,1.92,2.72,0.46,1.38,2.84,1.5,1.17,2.23,1.31,1.8,6.05,2.78,2.03,2.53,2.19,2.42,3.76,3.2,1.66,6.04,1.1,0.4,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,5.58,5.2,1.86,5.3,2.86,2.62,2.86,5.1,2.46,2.97,5.08,5,1.8,1.19,2.06,1.23,1.18,5.47,3.62,3.57,2.58,2.68,4.7,3.95,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
