"NORTH MIMMS (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TL233037,Long,-0.216508,Lat,51.718482,,,,,,,
Station no,919/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.92,1.64,0.95,0.96,2.39,4.22,1.25,2.68,2.51,2.26,,
February,4.83,0.62,1.63,2.13,1.78,0.44,3.10,2.82,0.07,2.07,,
March,3.37,2.67,0.53,2.51,1.25,1.00,1.15,1.25,2.14,1.72,,
April,2.86,1.65,2.52,0.23,0.45,1.03,0.25,1.21,2.66,0.53,,
May,2.19,1.21,1.39,1.93,4.98,0.63,0.92,2.64,1.14,2.15,,
June,0.85,3.17,1.80,3.93,2.11,2.60,1.71,5.29,1.10,1.73,,
July,1.05,0.57,3.44,3.09,0.70,3.67,3.43,1.74,2.12,3.15,,
August,3.44,5.16,1.67,3.22,1.41,5.00,2.28,2.79,1.55,2.79,,
September,3.13,4.12,1.99,1.84,1.35,2.84,3.16,3.39,0.06,3.45,,
October,0.79,2.90,2.86,2.33,3.74,2.25,1.83,2.35,1.82,5.73,,
November,4.94,3.86,1.37,4.47,1.52,0.58,2.25,2.05,2.29,4.01,,
December,1.77,2.41,0.45,1.72,1.93,4.01,2.60,3.04,4.40,2.89,,
Total,32.14,29.98,20.60,28.36,23.61,28.27,23.93,31.25,21.86,32.48,,
Calc annual,32.14,29.98,20.60,28.36,23.61,28.27,23.93,31.25,21.86,32.48,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
