NORTH-MIMMS-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL233037,Long,-0.216508,Lat,51.718482,Elevation,254,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,919/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.29,3.19,5.61,2.26,2.33,2.48,4.35,1.38,1.99,2.24,2.02,4.71,1.03,0.82,2.92,1.64,0.95,0.96,2.39,4.22,1.25,2.68,2.51,2.26
February,,,,,,,4.24,0.43,0.84,1.8,2.24,0.78,1.26,1.04,1.77,2.6,1.84,1.08,1.3,4.09,4.83,0.62,1.63,2.13,1.78,0.44,3.1,2.82,0.07,2.07
March,,,,,,,2.93,0.36,1.53,2.97,2.86,1.34,0.42,0.12,0.63,1.14,5.9,0.83,1.08,0.79,3.37,2.67,0.53,2.51,1.25,1,1.15,1.25,2.14,1.72
April,,,,,,,3.19,0.28,2.78,1.46,1.55,1.33,1.01,1.71,1.39,1.55,1.83,1.22,1.54,1.73,2.86,1.65,2.52,0.23,0.45,1.03,0.25,1.21,2.66,0.53
May,,,,,,,2.89,1.9,1.58,1.57,1.71,3.06,2.48,0.59,2.22,2.47,0.89,3.3,2.03,1.34,2.19,1.21,1.39,1.93,4.98,0.63,0.92,2.64,1.14,2.15
June,,,,,,,2.12,0.42,1.62,0.47,0.92,0.24,1.38,2.22,1.52,2,1.81,2.56,0.51,2.05,0.85,3.17,1.8,3.93,2.11,2.6,1.71,5.29,1.1,1.73
July,,,,,,,1.46,1.1,2.49,2.49,3.05,2.06,1.67,1.81,2.57,2.44,3.52,0.89,0.89,4.36,1.05,0.57,3.44,3.09,0.7,3.67,3.43,1.74,2.12,3.15
August,,,,,,,2.24,1.91,3.18,0.01,3.8,2.36,1.58,3,0.99,3.9,0.13,2.5,1.97,2.32,3.44,5.16,1.67,3.22,1.41,5,2.28,2.79,1.55,2.79
September,,,,,,,1.82,1.84,1.66,0.98,0.41,1.31,1.97,2.54,2.01,3.31,1.4,1.66,0.27,2.72,3.13,4.12,1.99,1.84,1.35,2.84,3.16,3.39,0.06,3.45
October,,,,,,,2.74,3.17,5.44,3.35,0.72,4.02,2.46,3.43,2.69,1.89,0.11,2.18,5.81,0.38,0.79,2.9,2.86,2.33,3.74,2.25,1.83,2.35,1.82,5.73
November,,,,,,3.43,1.27,3.48,4.52,7.27,2.42,1.85,1.38,3.82,0.14,5.15,0.92,1.93,2.53,4.69,4.94,3.86,1.37,4.47,1.52,0.58,2.25,2.05,2.29,4.01
December,,,,,,1.7,3.67,3.61,1.32,1.31,1.6,2.52,1.29,1.52,3.05,2.14,2.56,3.38,1.49,1.46,1.77,2.41,0.45,1.72,1.93,4.01,2.6,3.04,4.4,2.89
Total,,,,,,,32.86,21.69,32.57,25.94,23.61,23.35,21.25,23.18,20.97,30.83,22.93,26.24,20.45,26.75,32.14,29.98,20.6,28.36,23.61,28.27,23.93,31.25,21.86,32.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
