HOLLINGWORTH-HALL-MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK002984,Long,-1.9984545,Lat,53.48232,Elevation,1194,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2748/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.03,3.02,3.86,4.51,5.3,4.7,1.67,1.64,3.62,4.57,6.79,4.77,5.57,2.48,9.2,3.28,,6.06,4.55,2.12,4.8,2.81,5.45,3.6,4.06,3.92,6.35
February,,,,0.26,5.1,2.35,7.21,2.07,4.52,2.52,4.6,2.88,3.1,3.07,5.06,7.59,1.4,3.15,2.2,5.55,3,,2.61,3.02,1.55,2.47,2.73,5.26,,2.45
March,,,,3.68,2.7,3.75,2.55,2.07,2.8,3.35,4.77,2.4,1.7,,1.55,1.58,5.83,1.31,1.86,,4.97,2.7,2.93,2.66,2.13,1.64,3.55,3.1,2.02,0.87
April,,,,2.58,3.3,1.33,4.02,0.75,2.68,3.03,2.5,1.77,2.82,3.35,2.61,1.44,2.95,1.39,,3.82,2.63,,2.6,1.1,1.92,2.87,0.69,1.29,2.87,2.47
May,,,,3.48,0.53,0.65,2.45,3.82,2.8,1.8,2.64,3.38,2.17,4.59,3.62,1.27,3.5,1.21,3.13,1.78,,2.6,2.43,3.87,4.17,1.56,,3.38,1.11,1.81
June,,,,2.22,4,2.91,2.4,5.04,2.8,0.98,2.47,1.19,3.85,3.65,5.65,3.87,2.73,5.42,1.17,3.48,1.53,3.34,4.61,3.64,2.76,3.79,2.5,5.06,3.04,2.04
July,,,,5.93,1.93,4.56,3.65,4.45,8.43,6.59,3.07,5.53,2.62,,1.51,7.58,3.6,2.55,2.1,,4.16,4.15,6.83,7.95,1.38,6.98,4.92,5.45,4.53,8.04
August,,,,3.2,1.92,3.35,2.2,4.03,2.14,2.58,6.84,4.3,6.69,4.18,3.25,5.32,0.42,5.55,,4.82,5.8,3.23,5.6,7.54,,11.94,5.26,4.76,0.46,6.82
September,,,,3.71,6.68,7.25,2.1,2.26,1.5,4.28,0.81,3.16,5.05,5.51,,5.9,2.63,2.88,,,,4.7,2.7,4.8,2.67,3.27,8.02,4.7,0.3,3.78
October,,,,6.1,8.48,5.68,1.8,9.18,3.04,3.55,6.37,7.52,3.06,4.42,,0.76,0.98,3.39,3.29,,1.22,4.9,2.23,7.52,2.74,3.24,5.76,3.95,3.65,3.96
November,,,,2.51,5.43,5.44,1.58,5.16,7.5,7.28,2.96,1.1,4.14,7.35,0.68,7.07,5.95,2.65,,,7.26,3.32,4.15,6,1.83,2.44,2.32,1.43,4.28,5.74
December,,,,5.07,3.84,4.28,3.31,4.62,4.28,5.62,3.03,3.83,2.55,3.24,1.53,3.86,4.63,3.15,7.57,2.65,6.57,4.12,1.99,7.64,5.65,4.95,5.37,3.39,5.46,4.06
Total,,,,41.77,46.93,45.41,37.78,48.75,47.19,43.25,41.7,40.68,42.32,,,51.81,37.1,41.85,,,,,40.8,60.54,,50.6,,45.83,,48.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11909 HOLLINGWORTH HALL MOOR Start 1924 end 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on the Moor. Stated altitude is 60 ft too high or gauge is 300m WSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
