OUTWOOD NR MANCHESTER SHORE TOP,,,,,,,,,,,,,,,,,,,,
Grid ref,SD765063,Long,-2.3561779,Lat,53.552797,Elevation,295,ft,,,,,,,,,,,,
Station no,RR8177,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,5.57,0.7,3.05,4.8,2,2.88,4.1,3.8,2.7,3.1,3.61,1.4,4.7,4.45,3.73,,,,,
February,1.64,3.45,0.8,1.3,3.75,2.9,3.9,3.3,2.7,4.9,0.71,3.3,4.6,0.6,1.47,,,,,
March,9.8,5.65,4.4,1.28,2.55,1.32,2.6,1.62,4.6,1.7,3.56,1.7,3.55,3.14,2.55,,,,,
April,1.2,1.4,2.76,1.34,1.9,1.18,0.62,5.08,1.8,2.95,2.42,4.6,3.35,0.31,2.18,,,,,
May,4.4,0.8,4.29,2.7,3.2,3.02,1.8,1.9,1.3,2.97,1.5,1.85,2.42,1.9,0.23,,,,,
June,7.1,1.45,3.2,4.68,3.28,0.82,4.98,1.66,0.35,1.43,2.5,3.65,6.48,3.44,1.38,,,,,
July,1.6,5.25,4.9,1.32,1.72,3.78,3.72,5.34,0.37,0.9,0.95,4.9,5.5,4.92,2.45,,,,,
August,5.35,3.05,2.4,4.98,1.7,5.6,4.5,1.7,4.18,2.67,2.45,1.5,4.01,4.15,5.9,,,,,
September,3.05,4.9,4.4,5.3,4.7,0.5,8.21,4.45,2.02,7.38,2.95,4.4,6.59,2.36,3.39,,,,,
October,4.5,1.85,5.32,5.4,1.8,5.3,2.72,4.25,5.73,3.65,9.47,5.2,4.28,5.45,4.56,,,,,
November,2.65,4.45,1.73,3.55,3.55,3.2,6,0.7,3.05,5.25,3.48,1.4,3.79,2.73,5.74,,,,,
December,4.15,2.2,3.45,2.85,2.27,1.2,5.15,4.9,9.1,3.85,2.4,3,3.48,1.1,4.02,,,,,
Total,51.01,35.15,40.7,39.5,32.42,31.7,48.3,38.7,37.9,40.75,36,36.9,52.75,34.55,37.6,,,,,
