WELLS-ST-CUTHBERTS-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST546458,Long,-2.65031,Lat,51.20967,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.64,2.36,2.81,,2.46,0.76,3.6,4.78,3.12,6.04,2.62,3,4.14,,,,,,,,
February,,,,,,,,,,,0.62,2.98,0.09,,0.25,3.26,2.28,5.83,1.19,1.66,2.66,3.28,0.28,,,,,,,,
March,,,,,,,,,,,2.07,0.69,1.97,,2.4,0.99,3.5,4.42,0.31,1.15,2.86,3.9,1.82,,,,,,,,
April,,,,,,,,,,,2.53,2.6,3.09,,2.36,4.8,2.34,2.05,0.16,3.42,2.29,1.55,0.76,,,,,,,,
May,,,,,,,,,,,1.87,3.89,5.5,,1.15,1.25,0.81,2.39,1.93,0.61,3.37,1.16,4.76,,,,,,,,
June,,,,,,,,,,,0.7,2.84,1.24,,1.83,3.14,2.34,1.42,2.23,2.98,0.79,1.06,0.28,,,,,,,,
July,,,,,,,,,,,3.31,4.39,4.29,2.43,1.49,0.39,6.62,4.13,3.19,3.25,4.44,1.83,2.02,,,,,,,,
August,,,,,,,,,,,4.18,4.52,1.15,1.47,3.94,1.82,0.78,1.35,2.99,3.44,0.2,6.86,4.81,,,,,,,,
September,,,,,,,,,,,3.64,2.76,4.65,2.04,2.91,4.94,2.94,2.45,2.24,1.3,2.28,0.76,1.53,,,,,,,,
October,,,,,,,,,,,3.15,0.79,6.82,2.75,3.24,4.59,2.94,3.64,4.28,3.26,3.39,1.47,2.75,,,,,,,,
November,,,,,,,,,,,5.91,3.5,3.31,0.66,1.27,7.31,3.66,2.43,4.74,7.48,9.15,1.95,1.33,,,,,,,,
December,,,,,,,,,,6.54,4.11,1.22,1.37,0.89,7.05,4.34,2.5,2.66,4.04,2.49,2.67,2.02,3.66,,,,,,,,
Total,,,,,,,,,,,36.73,32.54,36.29,,30.35,37.59,34.31,37.55,30.42,37.08,36.72,28.84,28.14,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Jan-June No readings owing to death of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
