"FOREST OF AE (CRAN LOCH)",,,,,,,,,,,,
Grid ref,NY004938,Long,-3.567486,Lat,55.228331,,,,,,,
Station no,5036/3/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.35,8.25,3.40,5.25,4.90,4.90,7.55,7.50,3.10,6.80,,
February,5.48,0.58,2.10,4.90,2.00,1.20,5.40,5.20,2.20,7.50,,
March,5.16,4.05,0.60,4.80,3.10,2.50,5.00,2.40,5.30,2.90,,
April,2.80,4.32,3.00,1.35,2.75,1.25,3.10,2.26,5.00,6.60,,
May,2.45,3.22,3.92,5.02,3.70,3.05,3.64,5.41,1.80,3.35,,
June,2.65,3.70,1.80,5.94,3.30,4.15,1.66,4.10,4.30,4.15,,
July,3.45,3.00,8.50,5.12,3.15,7.20,6.00,5.85,6.50,6.70,,
August,9.74,4.50,3.45,6.30,1.55,9.20,5.70,6.10,1.40,5.60,,
September,8.76,1.65,6.60,7.85,4.70,6.50,5.20,8.00,2.20,4.40,,
October,0.60,6.25,5.20,12.25,4.30,4.10,6.35,4.92,7.10,4.80,,
November,11.42,3.45,7.90,10.50,3.80,2.30,2.60,2.50,10.80,9.80,,
December,8.12,4.50,5.30,6.10,6.90,6.75,5.55,6.10,10.20,5.40,,
Total,68.98,47.47,51.77,75.38,44.15,53.10,57.75,60.34,59.90,68.00,,
Calc annual,68.98,47.47,51.77,75.38,44.15,53.10,57.75,60.34,59.90,68.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
