AYLSHAM-BUXTON,,,,,,,,,,,,,,,,,,,,
Grid ref,TG233227,Long,1.307665,Lat,52.755737,Elevation,25,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,,,,,,,,0.62,0.79,1.68,1.29,2.26,,,,,,,,
February,,,,,,,,1.63,2.08,2.1,0,1.28,,,,,,,,
March,,,,,,,,1.15,0.84,2.35,0.5,0.81,,,,,,,,
April,,,,,,,,1.13,0.56,1.11,2.22,1.73,,,,,,,,
May,,,,,,,,1.89,1,1.69,3.54,1.02,,,,,,,,
June,,,,,,,,0.68,2.13,2.4,0.43,,,,,,,,,
July,,,,,,,1.19,4.84,1.69,3.59,2.58,,,,,,,,,
August,,,,,,,2.04,1.85,3.69,1.41,2.62,,,,,,,,,
September,,,,,,,3.65,0.7,3.61,2.51,0.65,,,,,,,,,
October,,,,,,,3.33,2.55,0.19,2.83,1.25,,,,,,,,,
November,,,,,,,2.51,1.76,0.73,1.95,3.02,,,,,,,,,
December,,,,,,,2.58,3.54,0.49,1.5,2.03,,,,,,,,,
Total,,,,,,,,22.34,17.8,25.12,20.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note that these values have been rounded up to 2 decimal places by the Met Office in the 1970s,,,,,,,,,,,,,,,,,,,,
TYRain_1677-1886_A_pt1-page-097.csv not used as contains same data except recorded to 3 decimal places,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1786-1789 values entered at concatenation stage as missed out during transcription because of the inclusion of two decades on one sheet.,,,,,,,,,,,,,,,,,,,,
