ABBOTTS ANN ANDOVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU331435,Long,-1.5264,Lat,51.1905,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,1.85,,2.13,1.09,3.98,5.16,3.13,2.91,0,2.63,2.08,0.86,1.34,3.19,0.62,2.12,,,,,,,
February,,,,,,,,1.07,2.85,2.16,1.92,1.06,0.7,0.72,0.88,1.71,1.4,0.82,1.41,2.11,0.96,1.91,0.68,,,,,,,
March,,,,,,,,1.56,3.4,0.53,0.25,3.02,0.75,0.8,0.35,2.36,1.1,1.63,1.22,1.74,1.58,2.78,3.7,,,,,,,
April,,,,,,,,0.72,2.85,3.56,4.01,1.12,0.7,2.94,0.14,0.44,2.84,1.47,3,2.45,1.2,0.28,1.85,,,,,,,
May,,,,,,,,1.48,1.89,2.37,1.99,1.03,1.65,2.94,2.71,2.39,3.15,1.66,2,1.31,2.81,2.57,3.29,,,,,,,
June,,,,,,,,2.53,5.24,0.76,1.23,1.18,5.63,2.61,1.91,1.17,1.13,1.72,0.44,4.09,4.7,2.05,1.9,,,,,,,
July,,,,,,,,2.17,2.33,2.66,2.74,2.97,3.05,4.28,1.25,3.89,0.87,1.99,1.79,2.52,1.79,3.11,1.87,,,,,,,
August,,,,,,,,0.71,3.57,0.57,1.08,1.56,4.18,2.58,1.2,1.93,2.5,1.57,1.72,2.39,5.02,0.47,1.83,,,,,,,
September,,,,,,,,1.14,3.13,4.08,1.95,0.14,4.96,1.8,0.59,3.37,2.62,2.37,1.52,2.6,2.46,2.35,1.21,,,,,,,
October,,,,,,,,3.59,5.07,2.14,1.41,2.92,3.39,4.98,2.4,5.38,2.55,5.49,1.8,3.07,1.39,0.96,4.43,,,,,,,
November,,,,,,,,2.32,1.08,1.3,2.15,0.61,7.11,1.67,1.4,0.9,1.09,2.33,1.1,3.05,2.79,3.82,0.84,,,,,,,
December,,,,,,,,4.69,4.34,2.6,1.81,1.2,3.47,0.02,1.18,1.26,2.42,0.33,3.25,3.13,2.28,1.58,1.7,,,,,,,
Total,,,,,,,,23.83,,24.86,21.63,20.79,40.75,28.47,16.92,24.8,24.3,23.46,20.11,29.8,30.17,22.5,25.42,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation found on OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed estimated amount for January 1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
