EAST-HARPTREE-TOWNSEND-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST572567,Long,-2.615392,Lat,51.307798,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1970/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.39,2.47,3.86,4.89,7.76,3,2.97,3.77,3.41,9,1.24,0.69,4.68,4.79,0.76,2.31,3.97,5.43,3.6,3.29,4.94,
February,,,,,,,,,2.73,3.3,3.68,0.65,2.48,0.58,4.16,4.05,1.31,2.8,2.51,8.74,6.7,0.68,2.59,4.64,2.9,0.24,4.1,4.27,0.28,
March,,,,,,,,,1.82,3.4,4.42,2.35,1.25,0.33,1.28,1.31,6.81,2.23,1.65,2.18,4.44,4.37,1.19,4.47,1.51,1.44,3.13,1.31,4.38,
April,,,,,,,,,4.59,2.32,1.27,2.07,1.27,3.7,1.27,3.9,3.48,1.84,2.17,3.55,4.28,2.36,3.95,0.51,1.67,1.8,0.1,1.65,3.26,
May,,,,,,,,,1.1,3.54,1.93,6.12,3.34,1.38,3.12,4.26,3.29,5.21,5.33,2.39,3.95,3.93,2.59,3.6,4.89,0.7,2.75,3.46,1.25,
June,,,,,,,,,2.68,0.73,2.27,0.36,1.9,3.06,4.86,4.5,2.39,2.32,0.46,2.05,0.94,4.13,2.31,5.05,3.75,2.81,2.08,3.2,1.66,
July,,,,,,,,,4.75,4.49,1.96,3.36,2.4,2.86,1.59,1.5,3.07,1.57,1.13,5.77,2.61,0.68,5.16,3.67,0.17,3.03,4.79,3.28,2.38,
August,,,,,,,,,2.7,0.28,6.69,4.91,5.69,2.65,3.12,4.61,1.25,4.83,3.63,6.37,6.52,6.78,3.73,2.94,0.72,4.09,5.08,4.45,1.1,
September,,,,,,,,,1.19,1.8,0.78,2.4,2.79,3.25,2.93,6.72,2.01,3.22,1.62,5.85,2.98,4,4.87,6.28,2.66,4.61,4.82,6.04,0.2,
October,,,,,,,,,3.89,4.84,2.21,4.56,3.43,6.21,3.8,1.28,0.62,4.83,6.96,1.94,0.87,5.45,2.95,4.95,1.79,2.12,3.85,3.68,3.71,
November,,,,,,,,,10.44,11.16,2.91,1.84,2.59,7.62,0.51,7.89,3.19,2.2,4.55,8.7,10.26,4.74,2.82,8.87,5.27,0.72,3.2,2.67,5.83,
December,,,,,,,,,3.68,2.53,2.48,4.49,2.78,4.08,7.28,4.72,4.47,6.02,3.07,3.15,3.38,3.42,1.04,3.37,5.09,3.83,3.14,6.33,9.59,
Total,,,,,,,,,45.96,40.86,34.46,38,37.68,38.72,36.89,48.51,35.3,46.07,34.32,51.38,51.61,45.33,33.96,50.66,34.39,30.82,40.64,43.63,38.58,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Feb 25 Gauge tested and found to be sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
