EAST HARPTREE (TOWNSEND P.S.),,,,,,,,,,,,
Grid ref,ST572567,Long,-2.615392,Lat,51.307798,,,,,,,
Station no,1970/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.68,4.79,0.76,2.31,3.97,5.43,3.60,3.29,4.94,,,
February,6.70,0.68,2.59,4.64,2.90,0.24,4.10,4.27,0.28,,,
March,4.44,4.37,1.19,4.47,1.51,1.44,3.13,1.31,4.38,,,
April,4.28,2.36,3.95,0.51,1.67,1.80,0.10,1.65,3.26,,,
May,3.95,3.93,2.59,3.60,4.89,0.70,2.75,3.46,1.25,,,
June,0.94,4.13,2.31,5.05,3.75,2.81,2.08,3.20,1.66,,,
July,2.61,0.68,5.16,3.67,0.17,3.03,4.79,3.28,2.38,,,
August,6.52,6.78,3.73,2.94,0.72,4.09,5.08,4.45,1.10,,,
September,2.98,4.00,4.87,6.28,2.66,4.61,4.82,6.04,0.20,,,
October,0.87,5.45,2.95,4.95,1.79,2.12,3.85,3.68,3.71,,,
November,10.26,4.74,2.82,8.87,5.27,0.72,3.20,2.67,5.83,,,
December,3.38,3.42,1.04,3.37,5.09,3.83,3.14,6.33,9.59,,,
Total,51.61,45.33,33.96,50.66,34.39,30.82,40.64,43.63,38.58,,,
Calc annual,51.61,45.33,33.96,50.66,34.39,30.82,40.64,43.63,38.58,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
