AUCHLEEKS,,,,,,,,,,,,
Grid ref,NN730672,Long,-4.080042,Lat,56.778996,,,,,,,
Station no,5563/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.69,5.53,3.39,5.43,3.90,3.38,2.26,3.21,4.33,4.33,,
February,7.73,2.31,2.49,3.00,3.78,2.95,4.52,3.71,1.53,5.37,,
March,3.25,3.62,1.56,2.75,1.51,3.20,3.85,1.54,3.45,2.80,,
April,3.85,1.54,2.31,1.46,1.72,0.97,1.19,1.39,2.92,4.50,,
May,1.55,3.45,3.67,4.16,2.91,2.78,2.50,3.86,1.88,2.81,,
June,2.49,3.69,1.78,2.23,1.71,3.29,1.22,2.42,2.20,2.28,,
July,3.08,2.48,4.31,1.87,0.30,4.36,5.91,4.13,4.19,2.13,,
August,5.80,3.34,2.72,5.06,1.28,5.60,3.94,5.18,2.04,2.06,,
September,3.51,2.49,4.52,5.11,3.11,6.13,2.18,7.04,0.98,4.61,,
October,1.60,4.25,2.79,7.97,3.29,3.37,4.07,3.87,6.90,4.48,,
November,11.09,2.29,5.90,8.31,2.22,2.92,2.36,1.23,5.27,4.89,,
December,6.69,3.34,5.26,8.77,8.05,6.70,7.48,4.77,7.20,5.44,,
Total,55.33,38.33,40.70,56.12,33.78,45.65,46.48,42.35,42.89,45.70,,
Calc annual,55.33,38.33,40.70,56.12,33.78,45.65,41.48,42.35,42.89,45.70,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,5.00,0.00,0.00,0.00,,
