"AMPTHILL (LYME ROAD)",,,,,,,,,,,,
Grid ref,TL031378,Long,-0.498633,Lat,52.029039,,,,,,,
Station no,1169/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.12,1.45,1.12,1.03,2.24,3.73,0.94,2.74,3.55,2.41,,
February,4.01,0.59,1.56,2.41,1.62,0.59,2.68,2.54,0.06,2.31,,
March,3.15,3.17,0.57,2.28,1.10,0.74,1.38,1.70,1.99,1.75,,
April,2.74,1.86,2.05,0.26,0.44,1.20,0.16,1.04,2.12,0.33,,
May,2.37,1.66,1.60,2.43,4.14,0.41,1.14,1.79,0.61,1.34,,
June,0.65,1.73,1.56,2.83,1.97,2.29,1.41,4.77,0.60,2.61,,
July,1.25,0.37,2.98,2.78,0.05,3.89,2.82,2.78,2.61,3.60,,
August,4.23,2.78,2.58,3.58,0.78,3.55,2.84,3.52,0.89,3.04,,
September,2.14,2.98,1.16,1.66,1.54,1.80,2.61,2.89,0.07,3.11,,
October,1.20,2.91,2.34,1.99,1.82,1.66,1.63,1.86,1.93,3.82,,
November,4.52,3.70,1.40,3.72,1.23,0.61,1.74,1.58,2.18,3.00,,
December,1.54,2.19,0.68,2.10,2.05,2.67,2.37,2.28,3.35,3.25,,
Total,30.92,25.39,19.60,27.07,18.98,23.14,21.72,29.49,19.96,30.57,,
Calc annual,30.92,25.39,19.60,27.07,18.98,23.14,21.72,29.49,19.96,30.57,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
