HEDSOR BOURNE END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU907859,Long,-0.6919,Lat,51.5652,Elevation,156,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,998/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,3.09,2.48,0.99,2.31,0.98,2.71,3.17,0.83,0.84,2.93,3.45,1.04,5.31,0.75,2.06,0.81,2.42,1.24,4.17,4.11,0.78,4.21,1.89,1.66,2.8,4.31,3.22,3.14,3.16,1.86,3.31,,3.01,2.42,5.93,1.42,4.38,1.79,1.96,2.23,1.73,0.87,4.28,4.12,3.6,4.88,3.02,2.74,3.05,4.63,1.64,1.73,2.11,1.98,5.05,1.33,0.83,2.78,1.77,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.96,0.08,0.54,2.92,1.64,2.27,4.82,1.54,1.25,1,3.36,0.85,2.64,1.24,1.55,0.42,3.64,1.89,2.1,0.96,2.91,4.2,4.64,1.03,1.48,3.24,0.58,0.27,2.79,4.25,0.63,,2.46,4.1,2.37,1.16,0.75,1.75,0.13,2.81,0.16,2.52,1.93,4.82,0.41,1.01,2.36,2.63,0.76,1.16,1.49,1.83,2.62,1.42,1.32,1.3,4.05,5.1,0.86,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.75,1.55,4,3.78,0.89,0.67,0.88,1.57,1.76,3.15,1.41,4.2,1.72,1.49,3.55,3.17,1.12,1.92,3.87,2.64,5.12,1.42,4.85,2.1,1.02,5.09,1.95,0.98,2.35,3.11,1.45,,0.2,2.97,2.26,0,1.96,0.23,1.8,2.78,2.23,0.55,1.52,3,0.28,1.17,2.62,2.96,2.1,0.49,0.2,0.56,1.14,6.74,0.69,1.55,0.99,4.23,1.94,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.67,1.35,0.52,2.17,1.46,2.29,1.06,2.18,0.94,2.27,1.51,2.03,0.6,3.25,3.85,2.73,1.59,1.95,0.1,3.36,0.9,1.23,1.25,2.14,4.04,2.57,3.84,1.19,3.37,2.28,3.02,,3.37,1.63,1.94,1.15,2.42,3.76,2.34,1.15,1.4,3.32,1.73,2.93,0.07,2.89,2.27,1.76,1.35,0.87,1.58,1.1,1.79,2.06,1.53,1.35,1.98,2.85,1.96,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.72,0.27,0.23,1.34,2.07,1.51,1.41,0.59,2.34,2.78,3.1,0.72,2.72,2.28,2.09,1.43,2.26,2.6,2.11,2.03,1.75,3.39,1.8,2.54,2.94,0.42,1.23,1.15,1.17,2.11,2.91,,1.94,1.03,1.74,2.5,2.98,3.1,5.14,1.42,0.54,0.89,0.39,3.73,1.97,1.39,1.91,1.88,3.42,2.2,0.56,2.71,4.04,1.74,2.71,2.39,1.57,2.59,2.59,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.32,0.45,2.03,3.22,1.32,2.02,1.89,1.19,3.83,6.6,0.76,4.05,3.46,2.73,1.04,4.21,4.45,1.87,3.84,0.61,1.69,0.72,2.93,3.74,0.82,1.21,2.52,0.12,1.95,0.43,3.2,,3.12,3.48,3.79,1.36,0.61,2.12,0.92,2.67,1.27,3.64,3.39,1.59,0.57,1.41,0.72,1.56,0.38,1.57,1.5,2.48,2.65,2.1,2.73,0.53,1.4,1.4,1.07,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.48,4.97,1.02,0.3,0.76,0.72,0.59,4.39,1,3.92,4.2,0.8,0.2,2.81,3.73,3.24,1.87,0.27,1.52,0.87,2.62,5.23,1.58,4.85,4.59,3.1,6.83,0.18,5.16,2.44,4.59,,2.32,3.25,3.17,1.73,2.44,3.32,1.83,1.65,1.23,0.63,3.41,2.33,1.51,2.89,2.42,6.83,1.87,2,1.92,2.26,1.58,1.47,1.23,1.81,5.12,1.21,0.45,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,3.46,2.65,2.31,2.95,1.06,0.73,2.95,2.06,4.04,3.45,2.1,2.84,0.87,2.2,3.54,3.71,2.59,0.74,5.46,0.87,2.16,3.35,5.75,4.58,1.59,2.45,1.62,1.24,4.04,1.52,3.36,,1.5,4.35,3.03,1.38,3.88,4.11,2.96,0.49,2.51,1.6,0.64,1.71,2.68,2.06,0,4.78,2.31,1.71,1.83,1.15,3.81,0.23,2.77,1.23,2.95,4.06,2.45,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.1,1.01,6.26,2.36,0.63,2.38,0.95,1.27,0.71,2.78,1.68,1.98,1.01,0.75,2.55,2.65,0.38,1.67,2.93,2.42,1.01,2.52,1.61,1.93,5.86,2.46,1.87,2.91,2.83,1.84,3.94,,1.93,6.66,1.13,0.7,4.19,2.04,2.56,2.33,1.64,4.33,3.3,3.06,1.84,0.6,1.22,0.19,1.03,1.57,2.28,1.85,3.94,1.32,2.46,1.32,2.82,2.98,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,4.08,2.85,2.66,1,2.82,2.35,2.3,2.48,1.65,9.04,2.02,1.65,5.83,4.76,2.18,5.37,3.03,2.46,2.62,5.09,2.46,3.24,4.36,5.08,1.79,1.08,2.82,1.02,0.83,5.75,3.47,,2.6,2.66,5.04,4.38,1.22,0.72,4.81,1.66,1.99,2.96,1.67,2.72,3.01,3.94,3.29,0.88,3.33,3.22,3.37,2.9,0.95,0.24,2.08,6.25,0.61,0.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
