TEVIOTHEAD MANSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NT404050,Long,-2.9410973,Lat,55.335416,Elevation,550,ft,,,,,,,,,,,,
Station no,RR3038,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,12.2,6.5,2,2.05,1.4,4.3,8.7,,,,,,
February,,,,,,,,3.25,3.15,4.3,6.45,4.5,5.9,8.62,,,,,,
March,,,,,,,,2.1,1.8,4.6,2.6,5.05,6.9,4.15,,,,,,
April,,,,,,,,4.4,2.5,1.95,4.55,1.1,4.2,3.1,,,,,,
May,,,,,,,,4.3,5.5,1.6,1.6,3.9,2.4,2.25,,,,,,
June,,,,,,,,3.45,3.35,6,2.3,5,5.45,2.75,,,,,,
July,,,,,,,,7.8,0.7,5.1,7.35,3.6,6.8,4.75,,,,,,
August,,,,,,,,9,4.4,6.1,1,6.7,2.55,4.5,,,,,,
September,,,,,,,,3.7,5.65,5.4,5.1,3.7,3,5.7,,,,,,
October,,,,,,,4.7,8.4,4.55,2.1,2.8,3.5,4,6.4,,,,,,
November,,,,,,,4,9.45,3.75,2.7,9.45,11.2,6.55,6.95,,,,,,
December,,,,,,,11.2,4.15,2.2,3.85,5,6.3,7.6,4.4,,,,,,
Total,,,,,,,,72.2,44.05,45.7,50.25,55.95,59.65,62.27,,,,,,
