MUNDESLEY-INGLESIDE,,,,,,,,,,
Grid ref,TG297377,Long,1.4128678,Lat,52.88766,Elevation,150,ft,,
Station no,1445/4,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.33,2.77,2.99,2.31,5.13,1.43
February,,,,,1.96,2.33,2.51,0.89,0.73,1.26
March,,,,,0.6,0.7,2.73,0.33,2.26,2.23
April,,,,,2.77,0.83,2.79,0.33,2.28,1.67
May,,,,,0.86,1.42,1.85,1.9,0.77,1.01
June,,,,,3.16,2.65,0.9,1.09,1.4,0.29
July,,,,0.52,0.68,4.85,3.07,1.61,1.13,2.09
August,,,,1.74,1.55,1.51,0.95,0.87,2,1.21
September,,,,1.95,3.38,3.31,2.67,1.5,0.76,1.75
October,,,,1.57,2.59,2.22,1.44,2.69,6.25,2.64
November,,,,1.79,2.97,2.76,2.58,1.8,4.52,5.62
December,,,,3.45,2.04,1.53,4.62,2.51,1.59,2.74
Total,,,,,24.89,26.88,29.1,17.83,28.82,23.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1938 - Stn no changed from 1440/5,,,,,,,,,,
