CHARD-FAIRLAWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST321087,Long,-2.96584,Lat,50.87392,Elevation,374,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2050/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.68,,,,,,,,4.69,7.78,0.83,0.62,4.12,3.69,0.81,,,,,,,
February,,,,,,,,,2.53,,,,,,,,1.84,1.79,1.76,7.2,6.39,0.67,1.55,,,,,,,
March,,,,,,,,,1.53,,,,,,,,8.64,1.62,1.61,1.98,4.02,3.37,0.77,,,,,,,
April,,,,,,,,,3.34,,,,,,,,2.59,2.14,1.94,2.54,2.48,2.47,3.5,,,,,,,
May,,,,,,,,,0.81,,,,,,,,2.76,4.75,2.51,1.62,2.74,3.47,2.82,,,,,,,
June,,,,,,,,,3.46,,,,,,,,1.99,2.17,0.61,0.95,1,2.27,3.33,,,,,,,
July,,,,,,,,,5.14,,,,,,,,2.78,1.21,1.17,4.88,4.38,1.31,2.88,,,,,,,
August,,,,,,,,,2.37,,,,,,,,1.38,6.05,2.15,5.72,4.87,5.32,2.38,,,,,,,
September,,,,,,,,,1.07,,,,,,,,1.32,1.89,3.63,4.27,4.46,4.61,3.68,,,,,,,
October,,,,,,,,3.76,4.49,,,,,,,,0.92,3.05,7.39,1.88,1.1,5.22,4.8,,,,,,,
November,,,,,,,,5.99,8.48,,,,,,,,2.38,2.2,4.95,7.26,9.69,4.73,2.33,,,,,,,
December,,,,,,,,5.17,2.5,,,,,,,,3.67,8.5,1.82,3.49,3.43,3.89,0.59,,,,,,,
Total,,,,,,,,,42.4,,,,,,,,34.96,43.15,30.37,42.41,48.68,41.02,29.44,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairlawn Set back off Combe St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Station suspended for war,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation on sheet is 374ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
