BASLOW-OVER-END,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK256727,Long,-1.6177821,Lat,53.250701,Elevation,500,ft.,,,,,,,,,,,,,
Station no,2676,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.37,3.69,3.87,2.6,6.78,1.86,5.14,3.33,3.15,2.03,,,,,,,
February,,,,,1.3,4.62,1.96,1.61,3.88,0.76,0.8,4.04,0.55,,,,,,,,
March,,,,,0.65,1.43,1.44,4.5,2.79,0.11,3.41,0.15,1.86,2.25,,,,,,,
April,,,,,2.08,3.23,2.14,3.08,1.26,1.33,3.35,4.47,3.98,1.14,,,,,,,
May,,,,,3.93,4.14,2.89,1.25,1.15,2.25,1.33,2.22,5.31,1.7,,,,,,,
June,,,,,2.75,0.03,2.42,4.76,3.83,1.46,0.92,3.91,0.79,2.34,,,,,,,
July,,,,,3.27,1.32,2.42,2.42,1.08,1.77,5,4.13,4.43,1.98,,,,,,,
August,,,,,3.6,2.99,3.01,3.65,3.01,2.49,2.71,6.04,1.62,0.4,,,,,,,
September,,,,,2.97,3.03,1.66,4.69,0.4,1.34,4.39,4.82,2.05,1.3,,,,,,,
October,,,,,4.76,3.84,3.49,3.67,4.79,3.69,4.23,0.92,4.19,5.85,,,,,,,
November,,,,4.2,1.91,3.08,4.83,4.44,5.04,7.15,3.46,4.4,3.41,2.16,,,,,,,
December,,,,3.29,2.87,4.17,1.73,2.86,2.73,7.03,3.13,1.35,1.49,0.61,,,,,,,
Total,,,,,32.46,35.57,31.86,39.53,36.74,31.24,37.87,39.78,32.83,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is in Over End at the stated altitude. NGR could be +/- 250m.,,,,,,,,,,,,,,,,,,,,,
400m from BASLOW-TITHEACRE,,,,,,,,,,,,,,,,,,,,,
