COCKERMOUTH (CASTLE GATE DRIVE),,,,,,,,,,,,,,,,,,,,,
Grid ref,NY126309,Long,-3.3565694,Lat,54.665571,Elevation,208,ft,,,,,,,,,,,,,
Station no,3647,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,4.25,4,7.11,1.1,6.45,4.16,6.46,4.9,4.95,,3.68,,,,
February,,,,,,,3.8,2.2,4.75,0.57,0.49,3.87,0.05,3.8,0.5,,2.71,,,,
March,,,,,,,1.45,2.85,2.1,1,2.84,0.92,3.3,2.76,1.55,,2.03,,,,
April,,,,,,4.23,2.27,2.9,1.14,1.93,0.81,1.43,2.73,1.7,2.92,,0.78,,,,
May,,,,,,5,2.44,0.75,1.78,1.5,1.76,2.2,2.55,2.55,3.48,,0.96,,,,
June,,,,,,0.25,3.77,3.7,4.62,1.83,2.62,6.2,0.58,2,2.6,,2.88,,,,
July,,,,,,1.75,,6.9,6.11,4.92,3,6.25,4.53,2.25,1.61,,4.75,,,,
August,,,,,,2.8,,5.27,8.09,6.55,5.25,4.07,2.7,1.95,4.4,,1.99,,,,
September,,,,,,,,7.25,3.59,1.69,1.92,2.81,4.27,0.9,3.23,5.5,4.68,,,,
October,,,,,,,3.38,4,6.48,7.6,8.45,5.04,5.38,3.2,6.72,6.65,4.1,,,,
November,,,,,,,5.55,4.9,7.25,8.33,4.06,6.83,4,0.95,2.1,3.63,4.19,,,,
December,,,,,,3.9,0.88,1.33,3.22,6.88,3.1,4.66,5.31,0.51,4,2.21,5.65,,,,
Total,,,,,,,,46.05,56.24,43.9,40.75,48.44,41.86,27.47,38.06,,38.4,,,,
,,,,,,,,,,,,,,,,,,,,,
"1926 July, Aug, Sept estimated therefore removed along with total",,,,,,,,,,,,,,,,,,,,,
