GRINDLEFORD GROUSE INN,,,,,,,,,,,,
Grid ref,SK258779,Long,-1.614365,Lat,53.297432,,,,,,,
Station no,RR6187,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.61,1.52,2.34,1.87,,
February,,,,,,,3.42,2.34,3.12,1.15,,
March,,,,,,,2.91,2.90,3.82,4.02,,
April,,,,,,,1.60,2.58,3.36,2.04,,
May,,,,,,,2.01,4.05,3.62,2.29,,
June,,,,,,,2.36,4.80,1.68,3.08,,
July,,,,,,,1.85,2.60,2.35,3.13,,
August,,,,,,,2.94,3.20,3.26,2.42,,
September,,,,,,,1.09,0.36,2.38,2.42,,
October,,,,,,,6.05,7.42,1.77,4.41,,
November,,,,,,,4.29,3.31,2.42,1.12,,
December,,,,,,,3.27,2.69,2.44,7.57,,
Total,,,,,,,36.40,37.77,32.56,35.52,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,36.40,37.77,32.56,35.52,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
