BRADFORD THORNTON MOOR,,,,,,,,,,,,,,,,,,,,
Grid ref,SE048325,Long,-1.9286242,Lat,53.788797,Elevation,1401,ft,,,,,,,,,,,,
Station no,3267,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.63,6.59,6.1,0.95,0.43,,,,,,,,,
February,,,,,,,5.51,4.69,2.36,3.6,4.38,,,,,,,,,
March,,,,,,,5.55,4.25,2.96,2.14,3.5,,,,,,,,,
April,,,,,,,3.31,4.03,2.16,2.66,2.04,,,,,,,,,
May,,,,,,,1.16,3.65,5.72,1.7,1.62,,,,,,,,,
June,,,,,,,3.43,2.09,3.28,5.76,4.65,,,,,,,,,
July,,,,,,,3.75,5.36,1.55,6.14,6.1,,,,,,,,,
August,,,,,,,4.36,6.48,7.59,5.35,1.6,,,,,,,,,
September,,,,,,,6.01,4.5,5.9,2.48,4.17,,,,,,,,,
October,,,,,,,3.25,6.78,5.05,3.23,2.51,,,,,,,,,
November,,,,,,,6.6,7.3,2.86,1.37,5.42,,,,,,,,,
December,,,,,,,9.56,5.24,1.97,3.22,5.95,,,,,,,,,
Total,,,,,,,54.12,60.96,47.5,38.6,42.37,,,,,,,,,
