BRADFORD THORNTON MOOR RES - monthly gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE051334,Long,-1.924056,Lat,53.796883,Elevation,1196,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.75,6.64,6.81,1.58,0.5,0.45,4.5,3.39,6.56,1.93,4.52,,0.96,0.41,3.02,1.25,1.96,,,,,,,
February,,,,,,,6.24,5.77,1.65,3.68,4.34,4.5,4.09,2,2.18,2.26,1.69,,0.26,0.85,0.5,0.26,1.23,,,,,,,
March,,,,,,,6.58,4.01,3.49,2.53,3.86,3.41,4.74,0.66,1.73,1.6,1.67,,1.49,1.4,1.16,1.37,0.64,,,,,,,
April,,,,,,,3.42,3.98,2.14,2.99,2.33,1.11,4.46,2.09,0.99,1.75,1.94,,1.33,1.87,0.75,0.92,0.75,,,,,,,
May,,,,,,,1.16,3.42,5.89,1.65,2.79,2.64,1.65,0.55,1.05,1.95,1.76,,0.15,1.19,1.43,1.41,1.86,,,,,,,
June,,,,,,,3.32,1.57,3.32,6.85,3.81,2.04,5.35,3.01,0.79,1.84,1.27,,0.95,0.51,1.15,0.72,1.38,,,,,,,
July,,,,,,,3.35,5.53,1.18,6.29,5.96,4.38,4.2,3.01,4.14,1.17,3.3,,2.35,1.69,1,1.06,1.54,,,,,,,
August,,,,,,,3.9,6.11,7.95,5.37,1.92,4.01,1.49,1.03,0.99,1.07,0.7,,1.32,2.2,2.92,2.86,1.69,,,,,,,
September,,,,,,,4.95,4.31,6.01,2.49,4.56,1.65,1.18,3.94,1.99,4.43,1.68,,0.25,0.53,0.83,1.25,1.69,,,,,,,
October,,,,,,,3.01,6.76,5.47,2.87,4.09,4.74,3.68,1.92,1.84,3.66,3.25,,0.53,1.43,0.85,1.75,3.59,,,,,,,
November,,,,,,,4.34,6.88,3.49,1.79,5.52,4.03,6.08,3.42,1.36,2.89,1.23,,1.85,0.44,2.31,1.93,1.18,,,,,,,
December,,,,,,,8.8,5.18,3.08,3.59,7.02,4.25,4.36,1.73,3.25,0.97,2.94,,0.78,1,0.65,5.48,1.24,,,,,,,
Total,,,,,,,50.82,60.16,50.48,41.68,46.7,37.21,45.78,26.75,26.87,25.52,25.95,,12.22,13.52,16.57,20.26,18.75,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 elevation changed to 1350' but no indication of move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records notes also that 1890-1892 ""incorrect, too small""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
