BRADFORD THORNTON MOOR FILTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE051334,Long,-1.924056,Lat,53.796883,Elevation,1190,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.17,5.32,4.06,2.14,2.08,3.9,7.4,5.46,3.27,3.28,3.8,3.93,1.5,6.46,1.91,2.9,2.62,5.5,2.38,5.17,4.95,4.47,6.19,4.68,2.29,2.73,5.22,4.55,8.2,4.14,4.06,3.56,5.75,4.7,4.01,10.72,2.34,7.93,4.5,5.63,2.99,3.8,2.43,4.79,6.14,7.67,6.78,2.56,3.1,5.25,5,7.02,3.47,5.1,4.34,10.21,3.05,3.18,5.04,4.97,1.66,4.04,3.32,7.47,4.95,4.51,4.03,5.87
February,,,,4.87,7.67,0.78,2.11,4.11,3.99,2.48,5.66,1.99,1.71,4.41,4.61,1.47,2.85,2.57,2.86,2.09,5.4,5.45,2.94,2.37,3.91,5.2,8.32,0.92,6.94,1.43,4.12,0.37,5,7.28,1.46,7.72,3.55,1.85,6.87,0.81,1.21,6.21,0.43,3.58,0.48,7.92,3.7,7.56,2.47,6.17,2.83,6.91,2.16,2.99,2.27,4.87,6.51,3.32,4.27,4.13,7.18,4.43,1.48,2.9,4.67,3.25,2.56,3.69,8.32,0.74,4.62
March,,,,1.29,4.07,3.82,6.34,5.35,1.62,2.58,1.11,3.57,2.09,5.42,2.65,2.91,2.72,3.91,4.49,3.63,1.14,2.7,5.58,5.89,5.76,1.52,7.01,3.56,1.93,4.32,3.13,3.25,3.26,2.83,1.63,1.45,1.91,4.06,4.37,0.89,4.31,0.58,3.27,2.79,2.97,2.5,3.47,3.04,1.95,3.97,3.85,5.13,3.29,1.52,0.59,1.47,1.67,8.67,2.21,1.41,2.73,5.32,2.71,2.12,2.98,3.06,2.78,4.09,3.2,2.08,2.48
April,,,,1.05,2.81,3.29,2.56,3.23,3.95,3.49,2.51,3.1,2.14,2.19,2.63,2.89,1.91,2.88,3.44,4.39,3.47,2.23,1.33,4.46,2.14,1.78,3.39,2.1,0.92,1.79,5.32,1.48,3.65,3.6,2.78,2.96,1.88,2.91,1.64,1.53,3.66,4.4,4.67,1.85,2.22,4.6,2.17,3.47,0.74,1.84,4.38,2.97,2.33,2.58,3.51,2.66,2.17,4.6,3.34,4.95,4.7,2.38,3.33,3.43,0.78,1.9,3.58,0.49,1.67,4.77,2.98
May,,,,2.44,2.76,0.8,0.75,1.73,3.31,3.4,2.21,1.46,3.27,4.02,3.51,0.66,4.16,3.95,3.16,3.23,2.83,1.42,3.79,3.82,1.85,2.25,2.76,1.77,3.79,2.37,5.78,2.05,1.17,5.26,5.74,4.72,3.75,1.34,2.19,2.48,2.15,4.18,4.62,2.75,2.79,1.02,1.96,3.71,4.44,1.3,1.59,3,5.18,3.09,2.33,3.33,2.2,4.01,1.47,3.1,3.02,4.74,2.81,2.53,3.74,3.79,2.03,1.62,6.05,1.72,2.24
June,,,,2.81,4.21,2.42,5.23,4.61,3.52,2.53,4.43,1.4,2.33,1.75,1.55,2.3,1.46,6.38,2.44,3.27,2.77,4.13,7.74,2.35,2.53,1.08,3.06,2.45,1.79,1.15,2.59,0.14,2.3,1.15,2.81,0.06,2.45,3.73,6.83,1.58,2.19,6.74,0.84,2.18,2.58,4.23,5.26,2.76,5.77,2.95,0.66,0.61,1.43,3.97,2.96,3.78,3.03,3.44,5.84,0.61,1.78,1.35,3.21,3.61,2.38,3.08,5.41,2.49,5.41,4.03,1.43
July,,,,4.12,3.86,7.52,2.69,1.63,1.38,2.26,2.56,2.3,3.48,4.94,2.22,1.72,2.56,3.36,4.62,5.35,4.28,0.76,6.77,1.43,3.08,5.43,3.03,2.09,4.79,2.72,8.05,2.41,5.13,4.44,4.85,1.23,2.69,2.95,1.42,2.72,7.17,4.71,4,3.14,2.79,1.85,5.23,3.59,4.72,6.01,3.84,2.04,3.57,2.49,3.69,2.75,3.82,2.7,1.71,3.8,4.35,3.48,2.01,5.35,4.35,0.75,6.37,4.92,4.43,3.17,6.24
August,,,,3.2,4.76,5.61,2.43,4.12,4.91,1.89,6.3,2.57,4.36,4.66,5.33,6.22,5.55,3.46,3.09,3.65,5.56,2.58,7.62,1.52,2.86,5.75,2.78,6.23,2.4,3.07,2.07,6.18,6.29,5.43,4.31,4.38,3.59,6.3,5.4,3.9,6.18,5.01,1.81,1.07,2.5,1.71,3.35,2.34,5.71,3.77,1.64,6.89,4.81,5.79,3.62,5.84,6.7,0.41,4.73,4.32,6.86,5.18,6.11,5.32,9.94,1.42,9.68,6.14,4.74,1.39,4.81
September,,,,3.69,0.86,1.89,8,4.52,1.08,6.97,1.31,1.67,2.55,6.12,1.05,2.13,1.27,1,3.45,4.13,0.43,3.73,2.17,2.25,2.55,0.89,2.6,1.8,9.79,1.65,1.81,1.8,5.07,5.6,4.82,3.54,2.9,4.65,0.86,1.69,6.55,4.57,5.27,2.11,2.41,7.06,5.69,1.94,2.8,1.86,4.43,0.5,2.91,4.97,7.28,3.03,6.85,2.9,3.4,1.31,7.15,2.98,5.08,4.26,5.79,2.31,5.53,6.1,4.38,0.38,3.01
October,,,8.68,4.65,7.2,4.68,5.8,1.97,7.27,3.52,5.71,3.13,4.81,12.37,1.46,3.15,7.59,7.16,3.29,4.21,4.34,4.79,4.8,2.97,2.98,2.56,8.49,7.39,2.63,2.54,2.5,2.66,1.13,5.66,4.69,5.25,3.43,4.32,7.17,5.59,6.47,3.01,7.39,5.22,5.21,10.23,6.08,3.12,10.89,3.37,4.87,5.61,6.42,2.61,4.51,6.53,1.2,1.65,2.34,5.01,3.02,1.73,5.55,2.63,8.56,3.47,2.5,6.64,4.16,6.17,6.15
November,,,2.56,3.63,3.12,5.95,1.96,4.52,2.88,2.34,5.3,6.86,3.64,2.51,3.34,4.57,5.48,3.31,3.58,1.74,4.8,4.95,3.6,5.45,6.47,3.02,4.65,4.85,1.95,3.52,2.94,2.73,2.3,7.17,3.54,2.12,6.42,4.72,8.41,8.85,6.49,8.7,3.23,2.76,2.64,6.23,7.65,2.28,7.28,7.17,7.56,3.96,1.94,3.52,6.88,1.1,6.97,7.43,2.48,7.61,5.84,10.04,2.41,6.16,7.41,2.92,2.62,3.1,1.42,6.06,8.21
December,,,2.6,5.02,3.93,5.49,5.9,6.22,5.49,3.44,5.42,5.04,4.16,2.58,2.59,1.1,3.63,4.62,3.17,4.58,6.45,6.47,5.5,2.98,7.87,8.35,3.45,1.75,6.94,6.29,4.41,7.42,4.35,4.07,5.32,6.17,1.33,2.57,2.99,10.92,4.36,3.04,1.89,0.68,6.39,4.16,6.06,3.75,4.69,2.79,4.07,2.94,3.65,2.97,5.08,3.37,3.78,5.22,4.89,9.41,3.09,9.38,4.79,2.88,9,7.71,6.1,5.73,5.73,9.32,6.64
Total,,,,37.94,50.57,46.31,45.91,44.09,43.3,42.3,47.98,36.36,37.82,54.77,34.87,30.62,45.64,44.51,40.49,42.89,46.97,41.59,57.01,40.44,46.47,44.02,54.22,37.2,46.6,36.07,47.27,38.69,43.79,56.55,45.51,45.35,38.6,43.41,58.87,43.3,58.67,55.65,43.05,31.12,36.78,53.94,55.41,43.7,59.13,47.98,42.28,43.66,42.94,41.5,49.74,42.2,50,48.69,46.89,48.71,52.9,56.05,44.46,42.85,63.64,36.98,56.63,49.96,54.02,43.86,54.68
