HORSHAM ST FAITH AIRFIELD,,,,,,,,,,,,
Grid ref,TG220131,Long,1.281956,Lat,52.670114,,,,,,,
Station no,1428/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.31,2.90,1.77,1.35,1.79,3.08,,2.12,3.20,3.57,,
February,2.72,0.75,1.50,1.99,2.14,1.60,,3.39,0.04,1.71,,
March,3.42,2.14,0.55,2.34,1.85,0.85,,1.22,1.64,1.02,,
April,3.47,1.33,1.81,0.67,0.44,0.98,,1.23,1.57,0.89,,
May,1.50,1.25,1.03,1.95,2.00,0.69,,2.90,0.36,0.27,,
June,1.30,1.31,2.21,2.42,2.06,2.32,,2.50,0.68,1.02,,
July,1.92,1.99,2.13,2.50,0.28,2.64,,3.56,1.40,,,
August,2.88,2.28,2.64,5.37,0.74,3.64,,2.78,1.20,,,
September,2.15,2.69,1.43,1.84,2.13,1.15,,2.25,0.07,,,
October,0.81,2.26,2.64,2.25,4.06,3.03,,1.72,2.04,,,
November,2.86,4.14,1.48,4.44,0.72,1.41,,1.12,2.54,,,
December,1.36,2.48,1.11,1.83,1.70,1.52,,2.60,2.81,,,
Total,27.70,25.52,20.30,28.95,19.91,22.91,,27.39,17.55,,,
Calc annual,27.70,25.52,20.30,28.95,19.91,22.91,0.00,27.39,17.55,8.48,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,0.00,0.00,NaN,,
