"RUSKEY, County Leitrim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IN053858,Long,-7.920,Lat,53.822,Elevation,136,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.67,4.67,1.94,1.31,1.60,2.17,3.45,4.04,3.40,3.20,4.79,3.74,2.44,5.21,1.79,2.76,2.81,2.41,1.57,3.08,4.18,1.57,2.29,2.03,1.04,3.35,3.07,3.55,2.84,3.31,1.78,3.34,2.21,4.24,3.65,4.64,1.81,3.10,2.18,4.51,2.66,3.44,1.81,4.98,4.48,3.12,3.96,3.03
February,,2.59,3.45,0.50,1.27,2.49,2.63,2.98,2.69,0.95,2.14,3.89,3.95,1.89,2.50,1.82,2.26,1.35,3.74,2.09,3.10,0.95,3.26,3.06,1.80,1.59,3.72,1.48,2.45,1.27,2.93,3.48,0.38,2.25,2.43,2.04,2.34,3.77,0.23,3.04,0.12,2.11,0.30,2.81,1.71,5.77,1.57,3.30,4.30
March,,1.02,2.20,3.51,4.86,4.25,1.25,1.33,0.51,3.01,2.01,6.40,3.10,4.46,2.35,2.87,3.68,3.04,1.84,1.51,2.97,2.44,3.07,0.41,1.34,2.23,1.16,1.66,1.94,2.67,1.86,1.14,0.80,0.69,1.32,2.59,2.98,0.55,2.81,1.55,2.05,2.15,2.73,1.60,2.12,2.06,1.31,1.45,4.63
April,,1.03,4.82,1.59,0.88,3.81,3.72,3.09,2.88,3.61,3.23,1.90,2.45,1.39,1.88,1.96,2.15,3.48,1.37,1.58,0.37,2.65,1.02,1.07,2.53,1.50,1.58,1.26,2.48,0.92,1.58,1.66,3.19,2.12,1.42,1.25,0.98,0.90,1.48,2.66,2.70,1.25,2.37,2.22,2.21,3.28,0.20,1.03,3.41
May,,2.94,2.40,0.24,0.23,1.47,3.74,3.75,3.01,1.55,2.20,1.95,1.74,1.91,3.25,3.80,2.82,2.01,1.86,2.33,1.29,3.07,1.18,0.78,3.91,2.18,1.88,2.73,2.69,1.52,1.89,0.92,3.23,4.47,2.53,1.19,1.17,1.91,1.40,2.79,1.71,2.42,1.85,0.56,1.51,3.06,2.45,1.22,2.45
June,1.60,2.81,2.49,1.01,2.94,5.35,3.04,2.49,3.50,3.59,1.84,1.31,2.10,2.42,1.54,4.86,2.12,2.20,3.92,1.05,3.53,1.85,1.47,1.57,1.85,2.26,1.44,1.50,1.70,0.26,1.45,0.96,2.27,0.60,2.99,2.48,5.47,1.79,1.73,3.44,0.88,2.59,2.04,3.70,3.48,2.21,2.99,1.83,0.77
July,1.99,2.04,4.74,4.03,5.57,2.54,1.83,1.72,2.41,1.21,2.68,5.15,3.87,1.67,2.89,2.47,1.71,2.22,2.66,2.02,2.66,0.67,2.70,3.21,2.05,3.55,2.72,1.21,3.03,2.44,2.14,1.49,2.84,2.37,2.27,1.45,2.36,,2.70,1.63,3.74,2.72,1.46,1.04,5.25,4.96,4.23,3.49,3.18
August,5.94,3.24,3.35,3.27,2.10,5.57,4.78,2.13,3.99,3.65,2.16,6.36,5.41,5.58,5.14,2.90,1.54,1.19,4.61,1.36,3.98,0.65,4.64,2.97,2.84,3.86,1.90,2.72,1.85,2.63,3.19,3.21,3.33,1.23,2.87,4.28,3.67,4.48,4.44,1.52,1.54,1.48,2.80,2.54,1.99,2.75,2.69,1.37,0.81
September,3.80,1.26,0.33,0.43,3.54,1.78,3.07,2.54,2.36,4.65,2.23,4.37,3.64,2.15,1.06,1.39,4.94,2.37,1.59,1.44,0.24,3.53,0.91,1.52,1.41,2.12,3.53,2.66,2.29,1.17,2.08,2.64,3.91,2.66,2.80,4.78,2.58,1.00,3.47,1.28,2.29,0.64,4.38,4.59,4.46,5.17,2.08,1.98,2.41
October,2.86,2.65,3.69,2.95,2.39,2.40,1.92,2.36,4.93,3.82,2.36,5.64,2.58,2.04,4.64,3.39,1.48,4.51,1.43,2.87,1.91,3.44,1.60,2.74,5.69,4.12,3.05,1.09,2.26,2.17,1.45,2.60,2.05,2.65,2.28,1.70,4.66,,5.10,1.94,3.03,2.04,4.41,4.23,3.19,1.14,4.55,1.70,4.93
November,2.78,1.70,2.70,3.44,1.04,3.52,2.74,2.54,4.15,3.55,4.13,2.35,2.46,3.82,1.60,2.63,2.77,1.56,2.84,3.01,1.80,2.41,2.63,2.06,3.81,3.39,2.72,1.55,3.51,3.59,0.76,1.99,2.35,1.75,4.77,1.75,4.10,,3.38,4.48,1.97,1.58,1.21,3.74,4.30,1.30,4.74,6.51,2.93
December,2.13,3.68,2.38,3.60,4.70,6.12,2.69,4.31,4.54,3.29,3.57,2.71,2.49,1.85,2.94,3.40,3.73,3.69,2.30,4.72,3.65,2.58,4.04,5.02,3.07,1.55,3.63,5.12,3.12,3.22,2.74,1.83,3.84,2.46,0.86,2.06,2.78,,3.72,2.71,4.92,1.86,5.00,2.71,5.83,1.82,3.64,1.89,3.47
Total,,26.63,37.22,26.51,30.83,40.90,33.58,32.69,39.01,36.28,31.75,46.82,37.53,31.62,35.00,33.28,31.96,30.43,30.57,25.55,28.58,28.42,28.09,26.70,32.33,29.39,30.68,26.05,30.87,24.70,25.38,23.70,31.53,25.46,30.78,29.22,37.73,,33.56,29.22,29.46,23.50,31.99,31.55,41.03,38.00,33.57,29.73,36.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_28_pt1/035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_32_pt1/113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_30_pt1/083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_37_pt1/082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_28_pt1/169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# 1890, 1891, January to May 1892 (and 1892 total) omitted - computed from other sites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
